13-Al-27(n,&gamma;) ENDF/B-VII.1
1.0E-5,11.7558
1.31241E-5,10.2617
1.70876E-5,8.99315
2.2426E-5,7.85013
2.91987E-5,6.87973
3.83206E-5,6.00532
4.98935E-5,5.26296
6.54808E-5,4.59404
8.52562E-5,4.02615
1.11891E-4,3.51442
1.45682E-4,3.07997
1.91195E-4,2.68853
2.48937E-4,2.35618
3.26707E-4,2.05668
4.25373E-4,1.80244
5.58264E-4,1.57335
7.26861E-4,1.37888
9.53941E-4,1.20363
0.00124203,1.05482
0.00163006,0.920759
0.00212234,0.806922
0.00278538,0.704372
0.00362657,0.617288
0.00475955,0.538852
0.00619694,0.472238
0.00813293,0.41221
0.0105891,0.361225
0.0138972,0.315313
0.0180942,0.276348
0.0234661,0.24271
0.0253,0.233768
0.033204,0.20422
0.0432317,0.17909
0.0567377,0.156197
0.0738726,0.137141
0.0969512,0.119668
0.126231,0.104731
0.165666,0.0915067
0.215698,0.080171
0.283085,0.0699512
0.40461,0.0585468
0.526803,0.0512632
0.752956,0.0429029
0.988188,0.0374313
1.41241,0.0313426
1.83896,0.0274136
2.41347,0.0240462
3.14234,0.0210164
4.12404,0.0183107
5.68449,0.0155839
7.20203,0.0138267
9.45202,0.0121291
11.5081,0.010928
15.1033,0.00954463
19.6645,0.0084001
22.9908,0.00770948
30.1734,0.00673013
39.2858,0.00591741
45.9564,0.00542408
57.4391,0.00483878
68.6702,0.00441481
91.8874,0.00379749
114.853,0.00337996
137.31,0.00307716
183.75,0.00263527
240.908,0.00228155
301.435,0.00202635
385.437,0.00176006
483.445,0.00154623
604.909,0.00136206
733.909,0.00121305
951.937,0.00103905
1191.28,9.10566E-4
1492.22,7.95793E-4
1924.81,6.8713E-4
2528.71,5.95845E-4
3222.59,5.3919E-4
3772.85,5.2326E-4
4243.52,5.38414E-4
4554.98,5.77766E-4
4762.63,6.32238E-4
4935.67,7.12321E-4
5074.1,8.1954E-4
5177.92,9.4596E-4
5264.44,0.00110475
5333.65,0.0012859
5402.87,0.00155075
5463.43,0.00189445
5506.69,0.00224165
5549.95,0.00272759
5588.88,0.00334546
5623.49,0.0041265
5653.77,0.00508597
5679.73,0.00624273
5702.44,0.00764328
5721.91,0.00928309
5741.37,0.0115463
5757.6,0.0141597
5773.82,0.0178071
5788.09,0.0223172
5800.21,0.0276961
5811.67,0.0348467
5820.75,0.0427038
5829.62,0.0532682
5837.19,0.0657431
5843.68,0.0802629
5850.39,0.100916
5855.69,0.123502
5860.93,0.154162
5865.69,0.192936
5869.91,0.240828
5873.8,0.30248
5877.15,0.376142
5880.18,0.467522
5882.94,0.581395
5885.53,0.727973
5887.86,0.90602
5890.29,1.15866
5892.73,1.50099
5895.16,1.94791
5900.61,3.14793
5902.95,3.49872
5904.66,3.58339
5906.75,3.45827
5909.05,3.08149
5914.89,1.80544
5917.33,1.38872
5919.76,1.07586
5922.09,0.854699
5924.68,0.673905
5927.44,0.535185
5930.47,0.42548
5933.66,0.341968
5937.12,0.276006
5940.91,0.223331
5945.23,0.179577
5949.88,0.145435
5955.07,0.117632
5961.24,0.0938536
5968.05,0.0751282
5974.97,0.0612827
5983.63,0.0487766
5992.49,0.0395701
6002.88,0.0317798
6013.91,0.0258018
6025.59,0.0211793
6039.21,0.0172222
6056.08,0.0136986
6072.31,0.0112614
6091.77,0.00913046
6114.48,0.00735265
6140.44,0.00591476
6166.4,0.00488174
6198.84,0.00395647
6233.45,0.00325123
6276.71,0.00263145
6319.97,0.00219195
6371.88,0.00181731
6432.44,0.00151156
6501.66,0.00126935
6579.52,0.0010792
6683.35,9.07442E-4
6795.82,7.84481E-4
6951.55,6.73253E-4
7150.55,5.86131E-4
7354.68,5.31972E-4
7655.6,4.79018E-4
8056.83,4.40047E-4
8859.29,4.02419E-4
10063.0,3.82554E-4
11266.7,3.77243E-4
13674.1,3.91368E-4
16081.5,4.30644E-4
18087.6,4.82907E-4
20439.8,5.80065E-4
21806.7,6.63574E-4
23375.7,7.94598E-4
24185.1,8.95789E-4
24247.1,9.33507E-4
24265.7,9.84514E-4
24275.4,0.00106641
24279.3,0.00115158
24281.7,0.00126344
24283.7,0.00143113
24285.1,0.00164116
24286.6,0.00196794
24287.8,0.00236947
24289.0,0.00293127
24290.2,0.00370679
