13-Al-27(n,p) ENDF/B-VII.1
1896910.0,0.0
2250000.0,2.975E-7
2500000.0,1.90558E-5
2750000.0,2.73247E-4
2918380.0,7.46837E-4
3000000.0,0.0010784
3250000.0,0.0029036
3500000.0,0.00779702
3658380.0,0.00723492
3750000.0,0.00641211
3909430.0,0.00593606
4000000.0,0.00603408
4250000.0,0.00891301
4500000.0,0.0164479
4750000.0,0.0176249
5000000.0,0.0193235
5122550.0,0.0239984
5451920.0,0.0382263
5502130.0,0.0405665
5518100.0,0.041188
5589160.0,0.0433971
5750000.0,0.0454728
5926100.0,0.046504
6000000.0,0.0470273
6250000.0,0.0492668
6904670.0,0.0553763
7000000.0,0.0568802
7075840.0,0.0575976
7750000.0,0.0693998
8000000.0,0.0741319
8250000.0,0.0756565
8500000.0,0.0774473
9000000.0,0.0814951
1.0E7,0.0910882
1.1E7,0.0880973
1.3E7,0.0811139
1.5E7,0.0651687
1.6E7,0.0560405
1.7E7,0.0470737
1.8E7,0.0404546
2.0E7,0.0274389
2.0E7,0.0
1.5E8,0.0
