20-Ca-44(n,&gamma;) ENDF/B-VII.1
1.0E-5,44.7326
1.31241E-5,39.0472
1.70876E-5,34.2203
2.2426E-5,29.8709
2.91987E-5,26.1784
3.83206E-5,22.8511
4.98935E-5,20.0263
6.54808E-5,17.481
8.52562E-5,15.3201
1.11891E-4,13.3729
1.45682E-4,11.7197
1.91195E-4,10.2303
2.48937E-4,8.96564
3.26707E-4,7.82598
4.25373E-4,6.85857
5.58264E-4,5.98682
7.26861E-4,5.24687
9.53941E-4,4.58
0.00124203,4.01376
0.00163006,3.50363
0.00212234,3.07045
0.00278538,2.68024
0.00362657,2.34885
0.00475955,2.05041
0.00619694,1.79692
0.00813293,1.56857
0.0105891,1.3745
0.0138972,1.1997
0.0180942,1.05157
0.0234661,0.923653
0.0253,0.889546
0.033204,0.777089
0.0432317,0.681967
0.0567377,0.594763
0.0738726,0.521959
0.0969512,0.455276
0.126231,0.398465
0.165666,0.348316
0.215698,0.30503
0.283085,0.266176
0.40461,0.222808
0.526803,0.195055
0.752956,0.163238
0.988188,0.142475
1.41241,0.119111
1.83896,0.104349
2.41347,0.0915742
3.14234,0.0800174
4.12404,0.0696255
5.62099,0.0595983
7.37705,0.0520733
9.60493,0.0458554
11.2167,0.0421335
14.7209,0.0368129
19.1666,0.0324045
22.4081,0.0297408
29.4086,0.0259741
36.7524,0.0232971
44.7908,0.0209446
55.9822,0.0186931
66.9284,0.0170622
89.5564,0.0146872
111.939,0.0130814
133.827,0.0119165
179.087,0.0102146
234.795,0.00885013
293.787,0.00786174
375.657,0.00682568
469.564,0.00599918
561.378,0.0054073
751.287,0.00451856
939.102,0.00391117
1161.93,0.00338765
1432.52,0.00291103
1878.18,0.00237945
2232.3,0.00206757
2685.96,0.00176628
3145.12,0.00154136
3581.27,0.00135214
4476.58,0.00108777
5192.83,9.30588E-4
6088.14,7.83089E-4
7162.51,6.50146E-4
8415.94,5.41662E-4
10027.5,4.44068E-4
10743.8,4.13685E-4
11460.0,3.96401E-4
11712.0,4.05194E-4
11848.8,4.28695E-4
11920.8,4.62161E-4
11965.6,5.04089E-4
11998.0,5.54115E-4
12023.4,6.18749E-4
12045.9,7.10374E-4
12065.4,8.37245E-4
12080.5,9.91283E-4
12091.9,0.00116197
12101.7,0.00137438
12110.9,0.00166396
12118.4,0.00200965
12125.5,0.00247282
12131.5,0.00303459
12136.7,0.00372
12141.0,0.00453754
12145.1,0.0056147
12148.7,0.00693621
12151.8,0.00858525
12154.7,0.0107228
12157.2,0.0133952
12159.4,0.0166677
12161.0,0.0201011
12162.4,0.0240407
12163.4,0.0284077
12164.3,0.0334869
12165.1,0.0397619
12165.8,0.047354
12166.5,0.0581588
12167.0,0.0708288
12167.6,0.087907
12168.1,0.111389
12168.7,0.143614
12169.2,0.180408
12169.7,0.234532
12170.2,0.307637
12170.8,0.403159
12171.3,0.525884
12171.9,0.709906
12172.6,0.963448
12173.4,1.34097
12174.3,1.89736
12175.7,2.92027
12177.6,4.32256
12178.8,4.99057
12179.9,5.23382
12180.0,5.23573
12181.0,5.0615
12182.2,4.46296
12184.1,3.03285
12185.6,1.94491
12186.5,1.40195
12187.3,1.01667
12187.9,0.751854
12188.5,0.561552
12189.1,0.421806
12189.7,0.322107
12190.2,0.245584
12190.8,0.187738
12191.3,0.146904
12191.8,0.116153
12192.3,0.0931289
12192.8,0.075944
12193.4,0.0609439
12194.0,0.0502753
12194.7,0.0411485
