26-Fe-54(n,p) ENDF/B-VII.1
700000.0,0.0
800000.0,5.7972E-6
1000000.0,1.5666E-4
1250000.0,9.5268E-4
1500000.0,0.0027612
1750000.0,0.0057475
2000000.0,0.024223
2250000.0,0.041453
2500000.0,0.064558
2750000.0,0.10148
3000000.0,0.17013
3220000.0,0.19418
3250000.0,0.18284
3350000.0,0.19442
3360000.0,0.19652
3400000.0,0.19846
3450000.0,0.19554
3500000.0,0.19748
3750000.0,0.24557
4000000.0,0.29517
4250000.0,0.3005
4500000.0,0.3264
5000000.0,0.40252
5500000.0,0.43311
6000000.0,0.47338
7000000.0,0.48142
8000000.0,0.4822
9000000.0,0.48426
1.05E7,0.474
1.1E7,0.47
1.15E7,0.465
1.2E7,0.4512
1.3E7,0.40975
1.35E7,0.38284
1.4E7,0.34166
1.5E7,0.26974
1.6E7,0.2154
1.8E7,0.15024
2.0E7,0.11817
2.0E7,0.0
1.5E8,0.0

