48-Cd-106(n,&gamma;) ENDF/B-VII.1
1.0E-5,49.6556
1.31241E-5,43.3445
1.70876E-5,37.9863
2.2426E-5,33.1583
2.91987E-5,29.0594
3.83206E-5,25.3659
4.98935E-5,22.2302
6.54808E-5,19.4047
8.52562E-5,17.0061
1.11891E-4,14.8446
1.45682E-4,13.0095
1.91195E-4,11.3562
2.48937E-4,9.95244
3.26707E-4,8.68728
4.25373E-4,7.61341
5.58264E-4,6.64568
7.26861E-4,5.82435
9.53941E-4,5.08406
0.00124203,4.45545
0.00163006,3.88919
0.00212234,3.40824
0.00278538,2.97499
0.00362657,2.60713
0.00475955,2.27611
0.00619694,1.99474
0.00813293,1.7427
0.0105891,1.52903
0.0138972,1.3334
0.0180942,1.16977
0.0234661,1.02796
0.0253,0.989559
0.033204,0.862551
0.0432317,0.757554
0.0567377,0.659875
0.0738726,0.577992
0.105586,0.483354
0.138572,0.421185
0.18042,0.369047
0.236786,0.321729
0.308296,0.281395
0.440644,0.234881
0.578306,0.204529
0.826569,0.17012
1.07619,0.148483
1.41241,0.129489
1.83896,0.112244
2.41347,0.0965822
3.3802,0.0803554
4.4178,0.0689887
5.50677,0.0609162
6.73387,0.0536263
8.42573,0.0465214
10.5218,0.0401649
13.4412,0.0339064
16.7949,0.0287303
20.775,0.0243044
25.6043,0.0203345
31.999,0.0166586
39.8889,0.0135349
46.3872,0.0116172
54.3806,0.00983411
63.9727,0.00821465
76.4813,0.00672908
89.5517,0.00562265
105.539,0.00468603
121.525,0.0040183
140.71,0.00344721
159.894,0.00308716
179.078,0.00281447
204.657,0.0026157
229.857,0.00254308
252.329,0.00257478
280.257,0.00273224
305.457,0.00303569
324.357,0.00341912
340.737,0.00389211
355.857,0.00454976
369.238,0.00541436
380.213,0.00647654
389.171,0.00768607
396.731,0.00914576
403.737,0.0110349
409.394,0.0132369
413.817,0.0155311
417.71,0.0181897
422.776,0.0231115
426.455,0.0282684
429.485,0.0341736
432.471,0.0422814
434.985,0.0518984
437.505,0.0654108
439.521,0.0808131
441.411,0.101076
442.923,0.123704
444.372,0.153606
445.632,0.189854
446.829,0.238122
447.837,0.294947
448.782,0.369289
449.633,0.464103
450.341,0.574766
450.971,0.71079
451.554,0.885603
452.058,1.09584
452.538,1.376
452.924,1.6891
453.294,2.10583
453.609,2.6007
453.885,3.2002
454.119,3.90158
454.32,4.72413
454.497,5.72198
454.653,6.94329
454.787,8.43501
454.904,10.2663
455.01,12.584
455.109,15.6549
455.197,19.4261
455.285,24.561
455.372,31.3827
455.457,40.3049
455.542,51.9837
455.636,68.8666
455.737,92.1176
455.855,126.823
456.011,184.153
456.355,324.28
456.518,368.998
456.657,381.908
456.806,366.902
456.972,319.511
457.382,153.555
457.509,110.924
457.622,80.8295
457.712,62.1424
457.807,46.8614
457.885,37.064
457.974,28.6795
458.059,22.6497
458.144,18.1624
458.234,14.6703
458.333,11.8759
458.446,9.61569
458.56,8.00825
458.704,6.5476
458.862,5.42164
459.051,4.44942
459.256,3.68258
459.531,2.94002
459.807,2.40764
460.138,1.94389
460.516,1.56382
460.949,1.25287
461.445,0.999481
461.996,0.799189
462.626,0.636605
463.272,0.516922
464.028,0.415564
464.847,0.336439
465.729,0.274494
466.706,0.224059
467.808,0.182407
468.974,0.150131
470.517,0.11944
472.06,0.0975608
473.793,0.0798324
475.809,0.0650525
478.431,0.0519595
481.001,0.0433062
484.161,0.0362467
486.894,0.0331171
488.065,0.0327051
489.67,0.0335602
490.873,0.0360659
491.708,0.0396037
492.359,0.0442501
492.901,0.0503202
493.389,0.0587213
493.769,0.0685159
494.072,0.0797667
494.354,0.0946866
494.614,0.114974
494.788,0.134583
494.951,0.160982
495.081,0.191934
495.195,0.231364
495.292,0.279928
495.373,0.336034
495.46,0.418352
495.536,0.516479
495.612,0.647148
495.688,0.819841
495.764,1.04549
495.846,1.36442
495.937,1.82486
496.028,2.41709
496.133,3.27209
496.258,4.56075
496.471,7.21548
496.705,10.1036
496.861,11.3858
496.999,11.7789
497.143,11.3556
497.312,9.9081
497.737,4.60406
497.867,3.26905
497.972,2.41573
498.063,1.82451
498.154,1.36465
498.232,1.06065
498.31,0.825904
498.388,0.647402
498.464,0.516497
498.551,0.406214
498.637,0.326907
498.735,0.263727
498.833,0.21932
498.93,0.187356
499.06,0.157059
499.223,0.131029
499.429,0.108528
499.689,0.089184
499.949,0.0756377
500.275,0.0635684
500.665,0.053448
501.099,0.0455972
501.641,0.0388052
502.292,0.0332819
503.159,0.0284454
504.244,0.024591
505.762,0.0212809
507.562,0.0189072
509.839,0.0170655
514.887,0.0149713
519.241,0.0140929
527.746,0.0135583
536.25,0.0139895
544.755,0.0152099
554.677,0.0176434
561.764,0.020304
568.213,0.0235308
575.443,0.0286974
581.769,0.0351293
587.191,0.0428586
591.935,0.0521552
596.68,0.065165
600.746,0.0808793
604.135,0.0989624
606.959,0.119213
609.783,0.146717
612.325,0.180724
614.584,0.222181
616.561,0.271603
618.538,0.3397
620.232,0.420748
621.856,0.529696
623.226,0.658783
624.469,0.822101
625.598,1.03016
626.615,1.29376
627.518,1.62419
628.323,2.03917
629.015,2.53906
629.654,3.18536
630.167,3.90699
