48-Cd-113(n,total) ENDF/B-VII.1
1.0E-5,764237.0
1.31241E-5,667126.0
1.70876E-5,584680.0
2.2426E-5,510398.0
2.91987E-5,447335.0
3.83206E-5,390515.0
4.98935E-5,342281.0
6.54808E-5,298825.0
8.52562E-5,261942.0
1.11891E-4,228712.0
1.45682E-4,200508.0
1.91195E-4,175110.0
2.48937E-4,153556.0
3.26707E-4,134144.0
4.25373E-4,117682.0
5.58264E-4,102865.0
7.26861E-4,90310.4
9.53941E-4,79017.6
0.00124203,69455.0
0.00163006,60872.7
0.00212234,53619.2
0.00278538,47127.8
0.00362657,41665.4
0.00475955,36811.2
0.00619694,32752.7
0.00813293,29203.8
0.0105891,26303.2
0.0138972,23780.7
0.0180942,21838.0
0.0234661,20383.8
0.0253,20038.9
0.0361611,19041.9
0.040345,18978.9
0.0547796,19630.6
0.0713232,21708.7
0.0894371,25616.8
0.106925,31355.5
0.124697,39534.5
0.154732,56182.9
0.163863,59600.3
0.172993,60843.0
0.183665,58993.8
0.196391,52729.4
0.228633,31166.9
0.2429,23723.6
0.25574,18613.2
0.269294,14559.3
0.28356,11413.1
0.297827,9093.55
0.313877,7175.12
0.33064,5711.11
0.3499,4489.48
0.369874,3572.47
0.3927,2814.13
0.415527,2262.57
0.439424,1834.51
0.466887,1471.15
0.498274,1168.52
0.532514,929.369
0.566754,754.421
0.606701,603.939
0.652354,478.906
0.700861,382.887
0.750795,310.398
0.806435,250.774
0.866355,203.425
0.931376,165.484
1.00915,132.553
1.09793,105.295
1.19695,83.7118
1.30577,66.8753
1.4199,54.224
1.5483,43.9747
1.69097,35.8128
1.86217,28.8931
2.05477,23.5177
2.2759,19.2069
2.53271,15.7906
2.83231,13.1031
3.11895,11.3366
3.48,9.78326
3.96,8.42036
4.48,7.46321
5.28,6.55782
6.344,5.88416
6.784,5.74488
6.9856,5.89438
7.296,5.54802
9.16,5.12218
13.08,4.76886
15.6045,4.68758
16.9372,4.78798
17.4131,5.04795
17.6392,5.42285
17.7748,5.91753
17.87,6.58674
17.9414,7.50449
17.9902,8.58967
18.0235,9.75911
18.0568,11.5544
18.086,13.9664
18.1101,16.8561
18.1333,20.6948
18.1565,25.8493
18.1841,34.0319
18.2127,44.9286
18.2984,84.9513
18.3288,95.4811
18.3614,100.328
18.3652,100.386
18.3974,96.59
18.434,84.3226
18.5185,45.2811
18.5482,34.1587
18.5765,26.033
18.6027,20.4852
18.6268,16.7686
18.6553,13.6697
18.6839,11.5696
18.7196,9.84222
18.7624,8.53896
18.8219,7.44765
18.8933,6.6721
18.9932,6.03977
19.1455,5.52378
19.4597,5.06362
20.0263,4.78704
21.0929,4.65948
21.4538,4.76579
21.5522,5.01845
21.6157,5.49237
21.6772,6.36903
21.7695,8.07775
21.8203,8.56029
21.8308,8.57479
21.8724,8.3291
21.9356,7.28526
22.0073,5.97729
22.0606,5.33142
22.118,4.95756
22.1754,4.7846
22.3394,4.63697
24.2092,4.50836
42.164,4.29135
42.8936,4.33286
43.092,4.52306
43.3506,5.17624
43.3797,5.18938
43.4952,4.99878
43.6968,4.46588
43.9176,4.3087
48.0093,4.22956
49.0657,4.2807
49.3018,4.42603
49.4179,4.69112
49.5379,5.29015
49.6932,6.28373
49.7695,6.4656
49.858,6.22359
50.0581,4.95716
50.1862,4.50657
50.3782,4.29811
51.2105,4.19455
54.1168,4.15021
55.3509,4.22479
55.6383,4.40834
55.7566,4.67731
55.8391,5.07927
55.9299,5.87491
56.0567,7.59763
56.1446,8.73407
56.2199,9.17412
56.2292,9.18009
56.2909,8.94034
56.3821,7.88855
56.5089,6.10884
56.5935,5.26443
56.6759,4.77187
56.7625,4.49595
56.94,4.27192
57.5993,4.11364
59.7801,4.04871
61.3971,4.15421
61.9942,4.39587
62.3214,4.74093
62.5434,5.21707
62.7186,5.92043
62.8354,6.73574
62.9231,7.72408
62.9943,9.00765
63.0504,10.6091
63.0925,12.4241
63.1345,15.1112
63.1696,18.3674
63.2052,23.0621
63.2379,29.0652
63.2706,37.2128
63.3034,48.0689
63.339,63.6329
63.3758,84.4128
63.4202,116.253
63.4827,172.185
63.5832,269.331
63.6449,311.943
63.6999,326.207
63.703,326.231
63.7542,314.599
63.8028,284.918
63.8863,208.929
63.9664,134.103
64.0131,98.3829
64.0528,74.2304
64.0914,56.1164
64.1264,43.6652
64.1615,34.3735
64.1983,27.2853
64.2351,22.2394
64.2772,18.236
64.3253,15.1749
64.3706,13.2294
64.4249,11.6086
64.5155,9.85795
64.6171,8.61834
64.7632,7.49206
64.9384,6.65772
65.1546,6.01966
