49-In-115(n,&gamma;) ENDF/B-VII.1
1.0E-5,9836.5
1.31241E-5,8586.33
1.70876E-5,7524.94
2.2426E-5,6568.59
2.91987E-5,5756.65
3.83206E-5,5025.03
4.98935E-5,4403.92
6.54808E-5,3844.26
8.52562E-5,3369.17
1.11891E-4,2941.05
1.45682E-4,2577.59
1.91195E-4,2250.17
2.48937E-4,1972.18
3.26707E-4,1721.66
4.25373E-4,1509.04
5.58264E-4,1317.47
7.26861E-4,1154.92
9.53941E-4,1008.44
0.00124203,884.102
0.00163006,772.152
0.00212234,677.125
0.00278538,591.587
0.00362657,519.035
0.00475955,453.855
0.00619694,398.528
0.00813293,349.1
0.0105891,307.362
0.0138972,269.24
0.0180942,237.558
0.0234661,210.372
0.0253,203.067
0.033204,179.12
0.0432317,159.051
0.0567377,141.893
0.0738726,127.127
0.0969512,114.578
0.138572,102.063
0.18042,95.2279
0.276328,89.6867
0.294782,89.5593
0.386875,92.0642
0.503712,101.482
0.616921,117.911
0.719951,141.642
0.805698,171.357
0.882452,210.343
0.949935,259.918
1.00523,318.154
1.05116,385.59
1.09709,480.132
1.13458,588.749
1.16738,720.024
1.19831,891.598
1.22456,1093.69
1.24893,1353.98
1.27142,1691.11
1.2911,2106.29
1.30751,2586.03
1.32203,3166.33
1.33515,3878.56
1.34781,4816.47
1.35929,5977.83
1.37077,7556.01
1.38202,9640.68
1.39444,12698.6
1.40967,17526.7
1.43451,25980.5
1.448,28791.2
1.45614,29273.8
1.46525,28610.6
1.47837,25700.6
1.51371,13804.4
1.52659,10352.3
1.53831,7966.2
1.54932,6288.05
1.56057,5013.4
1.57346,3949.16
1.58658,3167.07
1.60087,2547.49
1.61774,2021.61
1.63602,1614.87
1.6557,1299.1
1.6782,1038.67
1.70444,822.002
1.73068,665.973
1.76068,535.701
1.79629,424.423
1.83378,340.419
1.87502,273.455
1.92095,219.402
1.96688,179.759
2.02264,144.384
2.08638,115.057
2.15058,93.5602
2.22556,75.2089
2.30289,61.3778
2.39662,49.1991
2.49133,40.3045
2.59558,33.1686
2.72344,27.0042
2.84805,22.8845
2.95486,20.4753
3.06675,18.9126
3.17864,18.369
3.27833,19.0036
3.35309,20.5333
3.4187,23.1361
3.46956,26.5082
3.51025,30.6145
3.55094,36.7826
3.58146,43.6119
3.60689,51.6336
3.63206,62.8974
3.6519,75.4422
3.67173,93.1544
3.68776,113.302
3.70301,139.84
3.71776,175.344
3.732,222.294
3.74624,285.298
3.76201,377.011
3.78286,532.505
3.81501,794.693
3.83169,891.927
3.84691,929.257
3.84951,929.88
3.86465,899.844
3.88255,800.341
3.92883,430.05
3.94663,315.063
3.96113,243.244
3.97537,189.948
3.98885,152.304
4.00258,123.698
4.0186,99.3045
4.03615,80.196
4.05446,65.8498
4.07684,53.2956
4.10176,43.3999
4.13177,35.0196
4.16228,28.9714
4.19789,23.8911
4.23654,19.9162
4.28638,16.2776
4.34436,13.3446
4.4115,10.9997
4.48982,9.1077
4.5773,7.63042
4.68411,6.37348
4.8233,5.2647
4.97962,4.41894
5.162,3.73939
5.3845,3.17617
5.65817,2.72108
5.8918,2.46801
6.2478,2.25258
6.4614,2.21451
6.6216,2.26073
6.7106,2.36894
6.84588,2.63991
6.86546,2.64648
7.0399,2.47515
7.05548,2.47328
7.2357,2.59494
7.4404,2.91724
7.6095,3.33712
7.7786,3.96385
7.91878,4.72842
8.03893,5.66745
8.14907,6.89721
8.24919,8.48103
8.33263,10.321
8.41274,12.7933
8.47817,15.6434
8.53696,19.2029
8.5869,23.376
8.63582,29.0644
8.67863,36.0873
8.71532,44.5314
8.74793,55.045
8.77647,67.9834
8.79991,82.7895
8.82131,101.496
8.83915,122.813
8.85826,154.231
8.87508,192.341
8.89189,243.94
8.90846,311.942
8.9268,411.89
8.94566,545.369
8.9691,754.12
9.02516,1317.28
9.04799,1470.55
9.06927,1521.18
9.09283,1459.89
9.11811,1277.26
9.18084,651.201
9.2025,477.187
9.22084,362.1
9.23817,278.902
9.25601,215.003
9.27384,168.354
9.29219,133.642
9.31053,108.471
9.33194,87.3105
9.35487,71.1018
9.38239,57.2406
9.41143,46.7714
9.44711,37.5528
9.4838,30.7272
9.5266,24.9343
9.57553,20.1603
9.63056,16.3
9.69477,13.0804
9.76306,10.6214
9.84459,8.51729
9.93632,6.8429
10.0382,5.52633
10.1566,4.45172
10.2913,3.60143
10.4374,2.95934
10.595,2.48122
10.7789,2.11365
10.9611,1.90141
11.0977,1.83374
11.1433,1.83091
11.2694,1.8897
11.3639,2.02336
11.4515,2.25956
11.5216,2.57871
11.5776,2.97427
11.6262,3.48432
11.6722,4.20401
11.7116,5.12889
11.7423,6.17129
11.7729,7.66312
11.7983,9.40806
11.8228,11.7133
11.8473,14.8225
11.8723,18.9942
11.9043,25.937
