63-Eu-151(n,&gamma;) ENDF/B-VII.1
1.0E-5,677120.0
1.31241E-5,591028.0
1.70876E-5,517931.0
2.2426E-5,452065.0
2.91987E-5,396137.0
3.83206E-5,345734.0
4.98935E-5,302937.0
6.54808E-5,264365.0
8.52562E-5,231613.0
1.11891E-4,202085.0
1.45682E-4,177004.0
1.91195E-4,154394.0
2.48937E-4,135180.0
3.26707E-4,117843.0
4.25373E-4,103108.0
5.58264E-4,89804.0
7.26861E-4,78487.1
9.53941E-4,68254.8
0.00124203,59532.0
0.00163006,51636.0
0.00222608,43753.0
0.00303344,36991.2
0.00398112,31802.2
0.0054368,26591.3
0.0071057,22657.8
0.0092902,19189.4
0.012142,16091.1
0.0158747,13286.3
0.0198632,11199.6
0.024383,9492.3
0.0253,9204.98
0.0317255,7566.34
0.0396964,6161.02
0.0474582,5172.79
0.0567377,4319.06
0.0678316,3598.54
0.0810948,3007.44
0.0969512,2541.49
0.115908,2197.33
0.132401,2020.32
0.150913,1919.26
0.165836,1897.83
0.190155,1968.26
0.207064,2101.22
0.22907,2412.11
0.245904,2806.53
0.260824,3334.0
0.275843,4109.56
0.293946,5400.91
0.309064,6496.5
0.321835,7026.56
0.329753,7102.48
0.35442,6935.72
0.365162,7157.86
0.377312,7854.02
0.388022,8940.08
0.398733,10551.0
0.411236,13192.8
0.430523,18663.3
0.44422,22350.7
0.452987,23696.0
0.458247,23909.6
0.46526,23437.3
0.476218,21188.4
0.506024,12087.5
0.518078,9236.23
0.529036,7274.91
0.539994,5802.11
0.552322,4579.75
0.56465,3684.66
0.5778,2979.71
0.59232,2407.04
0.609579,1914.99
0.628208,1535.76
0.647932,1246.84
0.6693,1020.41
0.6956,822.996
0.724497,673.398
0.753049,571.856
0.781601,502.987
0.816878,452.647
0.843336,437.526
0.852156,436.998
0.874204,447.083
0.896252,477.487
0.918301,537.401
0.937593,627.843
0.953578,745.776
0.966807,888.509
0.980587,1100.21
0.993816,1383.77
1.01002,1849.48
1.03317,2592.77
1.0453,2846.15
1.05412,2901.03
1.06647,2771.22
1.08091,2380.26
1.10681,1520.23
1.12059,1159.25
1.133,914.831
1.14595,726.902
1.15918,587.496
1.17406,474.567
1.18949,390.398
1.20713,321.099
1.22918,260.21
1.25343,213.774
1.27989,178.204
1.31131,148.523
1.34769,124.635
1.39013,105.44
1.44021,90.129
1.49029,80.0224
1.54302,73.5157
1.60105,71.149
1.63519,73.0008
1.66933,79.2316
1.69209,87.8886
1.70917,98.5886
1.72624,115.024
1.74359,140.109
1.76351,180.853
1.79315,247.892
1.80772,265.808
1.81436,267.58
1.82957,255.522
1.84777,218.77
1.87668,150.334
1.89352,120.007
1.90889,100.121
1.92425,86.0938
1.94132,75.3053
1.96408,65.8896
1.99253,58.7258
2.03122,53.2967
2.07902,50.0762
2.14275,48.9151
2.2343,51.186
2.30485,56.0434
2.36491,63.2331
2.41495,72.7593
2.45322,83.766
2.49091,100.102
2.51799,117.613
2.54154,139.501
2.56215,166.938
2.57981,200.265
2.59659,244.924
2.61308,307.17
2.6275,382.259
2.6434,492.364
2.6666,700.306
2.69015,915.159
2.70381,998.162
2.71672,1025.47
2.73113,990.213
2.74903,867.518
2.78589,536.169
2.80179,424.127
2.81827,338.593
2.83476,279.265
2.85124,239.148
2.86891,210.793
2.88657,192.654
2.91012,179.019
2.93838,173.31
2.97371,177.629
3.00904,192.536
3.04012,214.785
3.07639,254.413
3.1074,304.863
3.13447,367.904
3.15976,451.65
3.18058,548.598
3.20141,685.18
3.21807,838.2
3.23473,1050.24
3.2502,1324.03
3.26447,1667.55
3.27875,2121.69
3.2966,2862.74
3.33944,4993.43
3.35562,5503.2
3.36733,5622.11
3.38038,5478.58
3.39656,4947.69
3.44297,2688.21
3.45903,2073.72
3.4742,1636.35
3.48878,1330.2
3.50375,1107.38
3.52108,935.815
3.53594,844.232
3.55381,787.991
3.56673,780.554
3.5817,807.713
3.59668,878.045
3.61135,995.981
3.6278,1192.92
3.65034,1566.77
3.68205,2130.24
3.69591,2284.69
3.70742,2330.6
3.72409,2247.83
3.74194,1990.67
3.78398,1156.31
3.80219,865.558
3.81804,674.201
3.83448,528.52
3.85092,423.697
3.86942,339.823
3.88791,280.007
3.91081,227.271
3.9343,188.77
3.96513,153.006
4.00006,124.89
4.03941,102.764
4.08462,84.9241
4.13312,71.3911
4.19163,59.9459
4.25989,50.9268
4.3227,45.4539
4.38767,42.0261
4.45263,40.8378
4.50278,41.9179
4.54039,44.5448
4.57801,49.9219
4.60308,56.2285
4.62588,65.3209
4.64582,77.6177
4.66292,93.1475
4.68001,115.188
4.69768,146.585
4.7182,194.509
4.75809,298.925
4.77359,325.96
4.78936,335.875
4.80641,324.053
4.82647,285.01
4.87206,165.621
4.89087,127.218
4.90882,100.229
4.92677,81.2476
4.94672,67.0332
4.96666,57.6794
4.98946,50.7705
5.01795,45.6514
5.04756,42.9716
5.07718,42.2202
5.10962,43.3453
5.14207,46.7591
5.1691,52.0072
5.19614,60.6538
5.2198,72.6919
5.24008,88.1854
5.25968,109.647
5.27861,138.004
5.30294,185.857
5.34323,274.303
5.36378,304.135
5.37946,311.613
5.39839,300.674
5.4211,263.666
5.46922,159.344
5.4895,124.647
5.50708,101.914
5.52736,83.0663
5.54764,70.255
5.56791,61.6855
5.59495,54.6495
5.62605,50.61
5.65038,49.5868
5.6848,50.8016
5.71922,55.2862
5.7468,61.9771
5.77438,72.8656
5.79633,86.2595
5.81513,102.95
5.83457,127.723
5.85212,159.287
5.8703,203.829
5.89098,270.964
5.94189,473.785
5.96295,530.886
5.97895,545.703
5.99505,532.015
6.01736,471.785
6.0709,259.781
6.09158,195.085
6.11039,151.183
6.12794,121.312
6.14487,100.358
6.16367,83.6105
6.18562,69.9919
6.2132,58.5918
6.24078,51.0858
6.27087,45.6099
6.31601,40.6051
6.36114,37.9465
6.43135,36.6112
6.50391,37.671
6.57647,40.8073
6.64135,45.5232
6.71705,54.0553
6.78022,64.9728
6.83145,78.0892
6.87129,92.8993
6.90544,111.236
6.93389,132.901
6.96235,162.455
7.0031,218.892
7.06002,316.743
7.08734,380.092
7.10691,445.38
7.12444,529.179
7.14166,646.446
7.15865,808.433
7.17628,1037.52
7.19645,1384.14
7.22955,2107.62
7.26034,2764.02
7.28371,3081.53
7.30618,3176.23
7.38045,2918.73
7.3864,2918.29
7.4073,2927.83
7.43567,2851.3
7.46079,2585.23
7.49144,2027.85
7.52771,1301.2
7.54802,970.244
7.56615,741.426
7.58321,579.755
7.60026,460.396
7.61921,364.884
7.63816,296.773
7.65982,241.176
7.68418,196.814
7.71342,159.301
7.74753,128.719
7.78651,104.282
7.83199,84.3778
7.88397,68.5728
7.9392,56.8199
8.00742,46.7784
8.06762,40.5866
8.15249,34.6097
8.21614,31.631
8.30102,29.1614
8.39641,28.1517
8.45167,28.4531
8.51876,29.867
8.58586,32.8337
8.64506,37.4327
8.6944,43.5859
8.73386,51.0156
8.7684,60.5091
8.798,72.2371
8.82596,88.2617
8.84898,107.228
8.86871,129.88
8.88713,158.769
8.90489,196.404
8.92265,246.586
8.94337,324.582
8.96738,443.392
9.0279,802.529
9.05105,892.035
9.06926,915.584
9.08894,888.772
9.1121,796.391
9.17722,412.763
9.19893,310.454
9.21735,243.089
9.23577,191.893
9.2555,151.559
9.27523,122.462
9.29826,98.409
9.31996,82.3011
9.34759,67.7432
9.37522,57.4736
9.4114,48.07
9.45481,40.5233
9.50415,34.9409
9.56993,30.4655
9.64886,27.8342
9.71201,27.2073
9.78718,27.8853
9.86235,30.173
9.92896,33.9156
9.98447,38.8095
10.04,46.1935
10.0891,56.0624
10.1241,66.2225
