74-W-186(n,&gamma;) ENDF/B-VII.1
1.0E-5,1912.97
1.31241E-5,1669.83
1.70876E-5,1463.41
2.2426E-5,1277.42
2.91987E-5,1119.51
3.83206E-5,977.214
4.98935E-5,856.416
6.54808E-5,747.567
8.52562E-5,655.168
1.11891E-4,571.898
1.45682E-4,501.2
1.91195E-4,437.512
2.48937E-4,383.433
3.26707E-4,334.693
4.25373E-4,293.324
5.58264E-4,256.043
7.26861E-4,224.407
9.53941E-4,195.889
0.00124203,171.672
0.00163006,149.862
0.00212234,131.343
0.00278538,114.662
0.00362657,100.53
0.00475955,87.8964
0.00619694,77.0486
0.00813293,67.232
0.0105891,59.038
0.0138972,51.5029
0.0180942,45.1462
0.0234661,39.7261
0.0253,38.2421
0.033204,33.3569
0.0432317,29.3581
0.0567377,25.601
0.0738726,22.447
0.105586,18.8447
0.138572,16.4901
0.18042,14.5017
0.257874,12.2419
0.338436,10.7531
0.483724,9.14226
0.629809,8.12199
0.877222,7.05117
1.25381,6.14658
1.64551,5.57931
2.35191,5.05228
3.24834,4.77149
3.92581,4.72256
5.28073,4.88686
6.63566,5.34387
7.99059,6.12448
9.17615,7.17487
10.1923,8.476
11.0392,9.98237
11.886,12.0928
12.5635,14.4245
13.1986,17.409
13.8337,21.545
14.4053,26.8966
14.8499,32.7223
15.2945,40.84
15.6756,50.6604
15.9931,61.9953
16.3107,77.8203
16.5647,95.3243
16.7934,117.013
17.0136,146.033
17.1956,179.276
17.365,221.804
17.5259,278.241
17.6614,344.419
17.782,425.653
17.8858,521.322
17.9853,647.019
18.0784,811.01
18.1589,1008.47
18.2351,1269.64
18.2986,1571.66
18.3579,1958.89
18.4108,2432.72
18.4616,3055.18
18.5114,3894.3
18.559,4992.64
18.6066,6456.9
18.6704,9000.96
18.7504,12419.0
18.7961,13687.5
18.829,13975.3
18.8673,13564.7
18.9181,11981.5
19.0315,7132.02
19.083,5392.41
19.1306,4180.27
19.1772,3302.41
19.228,2602.14
19.2831,2055.53
19.3423,1632.85
19.4058,1306.43
19.4736,1053.53
19.5498,846.586
19.6345,680.087
19.7276,547.436
19.8293,442.142
19.9372,360.14
20.0706,286.744
20.2061,232.655
20.3543,189.148
20.5237,152.731
20.7269,121.268
20.9301,98.5206
21.1588,79.7935
21.4255,63.9474
21.7092,51.6355
22.048,41.0292
22.429,32.5321
22.8101,26.3879
23.2335,21.3696
23.7416,17.0027
24.2497,13.8337
24.8425,11.1243
25.52,8.87267
26.2821,7.05263
27.1289,5.60748
27.9758,4.55307
28.9919,3.63092
30.0081,2.95678
31.1937,2.38111
32.5486,1.90023
34.0729,1.51187
35.7666,1.20113
37.5449,0.967586
39.5773,0.772724
41.8638,0.616382
44.2349,0.497687
46.3228,0.422324
48.4664,0.357347
51.6818,0.287023
54.5398,0.240278
57.3979,0.204268
60.9705,0.170075
65.2576,0.139172
69.5448,0.117575
73.8319,0.0999107
79.5481,0.0832216
86.6933,0.0689097
92.4094,0.0606297
99.5546,0.0533059
108.129,0.0474584
116.703,0.0444893
125.277,0.0435718
133.852,0.0454513
138.358,0.0477963
143.303,0.0516127
147.423,0.0572513
150.72,0.0640884
154.016,0.0742941
156.489,0.0864594
158.549,0.10255
160.197,0.121298
161.433,0.142282
162.463,0.167281
163.472,0.201585
164.351,0.245924
165.072,0.298279
165.67,0.3598
166.256,0.44538
166.744,0.547889
167.184,0.679105
167.574,0.845272
167.916,1.05324
168.209,1.30594
168.478,1.63422
168.692,1.99939
168.893,2.47622
169.064,3.03698
169.21,3.69453
169.345,4.5187
169.473,5.61515
169.583,6.94278
169.679,8.59683
169.758,10.5621
169.822,12.8442
169.87,15.1919
169.919,18.555
169.961,22.6814
170.005,28.5675
170.043,35.6364
170.08,45.1993
170.118,57.8446
170.154,74.2662
170.195,98.0033
170.237,131.003
170.28,173.282
170.334,240.638
170.402,347.852
170.553,615.025
170.629,709.439
170.693,740.745
170.7,741.026
170.759,718.9
170.822,650.33
170.92,487.824
171.027,298.891
171.088,210.973
171.137,155.134
171.182,114.846
171.223,87.1808
171.263,66.117
171.298,52.2845
171.334,41.2813
171.37,33.0207
171.412,26.1
171.451,21.3746
171.494,17.6017
171.542,14.5063
171.603,11.8034
171.674,9.65811
171.75,8.0079
171.842,6.58045
171.945,5.40833
172.074,4.366
172.214,3.54857
172.385,2.83941
172.556,2.32977
172.769,1.87039
173.014,1.49954
173.264,1.22776
173.557,0.998501
173.874,0.820179
174.265,0.664341
174.705,0.541332
175.217,0.441628
175.706,0.374618
176.316,0.314787
177.049,0.265512
177.839,0.229437
178.747,0.201621
179.956,0.178322
181.663,0.160839
183.938,0.152935
186.498,0.156905
189.626,0.173978
192.471,0.201846
194.746,0.234764
197.306,0.287977
199.439,0.351257
201.359,0.432049
203.065,0.532971
204.559,0.655748
205.785,0.793894
206.976,0.977026
207.99,1.19009
208.967,1.47215
209.821,1.81107
210.567,2.21602
211.296,2.76086
211.918,3.40518
212.523,4.27762
213.02,5.27836
213.5,6.61498
213.927,8.28408
214.3,10.3378
214.642,12.975
214.947,16.3095
215.196,20.0834
215.424,24.8196
215.623,30.5039
215.815,38.095
215.985,47.5558
216.135,59.1272
216.259,72.4096
216.384,90.81
216.49,112.786
216.59,141.046
216.684,177.709
216.771,223.317
216.867,290.316
216.974,388.747
217.123,565.148
217.307,788.973
217.403,868.509
217.5,897.252
217.597,868.31
217.716,764.325
218.001,415.165
218.108,310.767
218.2,240.997
218.296,186.652
218.382,150.719
218.481,119.721
218.588,95.7435
218.7,77.5145
218.819,63.3276
218.956,51.3951
219.121,41.0321
219.292,33.3345
219.491,26.8269
219.726,21.3484
219.974,17.1911
220.245,13.919
220.543,11.2844
220.86,9.23452
221.222,7.5074
221.645,6.04663
222.122,4.85627
222.62,3.95065
223.171,3.21494
223.793,2.60693
224.539,2.08054
225.393,1.65319
226.317,1.32379
227.313,1.06945
228.45,0.858341
229.73,0.688059
231.152,0.552435
232.574,0.453588
234.281,0.366716
236.201,0.296164
238.547,0.235278
240.823,0.192725
243.667,0.154486
246.227,0.129648
249.355,0.107127
253.053,0.0882213
257.319,0.0731257
261.87,0.0626483
265.838,0.0573187
269.805,0.0557705
271.789,0.0570091
274.269,0.0620354
276.253,0.070161
277.493,0.0792191
278.921,0.0962427
279.806,0.112858
280.603,0.134776
281.307,0.163241
281.915,0.198929
282.465,0.245722
282.914,0.300529
283.284,0.363479
283.654,0.451576
283.95,0.550246
284.21,0.668801
284.469,0.834274
284.691,1.03491
284.886,1.2836
285.045,1.56345
285.196,1.93301
285.325,2.38297
285.436,2.93849
285.521,3.55155
285.584,4.20017
285.648,5.11956
285.703,6.27768
285.754,7.7627
285.8,9.66648
285.846,12.2922
285.886,15.3158
285.925,19.267
285.971,25.2687
286.017,33.3554
286.064,43.9112
286.111,57.8613
286.167,78.772
286.229,108.094
286.309,154.489
286.51,290.009
286.607,337.382
286.69,353.604
286.7,353.794
286.778,341.939
286.863,305.54
286.996,218.888
287.119,137.167
287.191,97.7763
287.25,71.7491
287.305,52.7473
287.356,39.209
287.403,29.5094
287.446,22.908
287.488,17.8505
287.53,14.023
287.572,11.1519
287.619,8.83847
287.665,7.15909
287.718,5.78592
287.773,4.76965
287.837,3.95271
287.916,3.24667
288.011,2.66445
288.13,2.1604
288.273,1.73883
288.418,1.43141
288.604,1.14972
288.815,0.922138
