79-Au-197(n,2n) ENDF/B-VII.1
8100700.0,0.0
8250000.0,0.00344035
8699100.0,0.126821
8750000.0,0.147559
9000000.0,0.2875
9250000.0,0.460019
9500000.0,0.6304
9750000.0,0.789477
1.0E7,0.9434
1.025E7,1.08812
1.05E7,1.224
1.075E7,1.34959
1.1E7,1.462
1.125E7,1.56085
1.15E7,1.648
1.175E7,1.72868
1.2E7,1.793
1.3E7,1.985
1.325E7,2.02565
1.375E7,2.0926
1.425E7,2.14771
1.475E7,2.19198
1.525E7,2.22638
1.55E7,2.237
1.575E7,2.23945
1.6E7,2.232
1.625E7,2.21517
1.65E7,2.188
1.675E7,2.15171
1.7E7,2.103
1.725E7,2.04453
1.75E7,1.98192
1.775E7,1.9151
1.8E7,1.844
1.9E7,1.536
1.95E7,1.39696
2.0E7,1.267
2.05E7,1.1442
2.1E7,1.03089
2.15E7,0.929383
2.2E7,0.842
2.25E7,0.769361
2.3E7,0.709678
2.35E7,0.661656
2.4E7,0.624
2.45E7,0.591263
2.5E7,0.560271
2.55E7,0.533143
2.6E7,0.512
2.7E7,0.477708
2.75E7,0.461682
2.85E7,0.433126
2.95E7,0.406292
3.0E7,0.394
