12-Mg-24(n,p) ENDF/B-VII.1
4931130.0,0.0
5000000.0,2.1E-5
5200000.0,4.7E-5
5600000.0,2.1E-4
5800000.0,0.0019
6100000.0,0.0043
6300000.0,0.0087
6500000.0,0.0369
6700000.0,0.0436
6900000.0,0.0357
7100000.0,0.0522
7310000.0,0.0465
7510000.0,0.0801
7700000.0,0.0933
8110000.0,0.1198
8500000.0,0.1192
9500000.0,0.1234
1.0E7,0.148108
1.05E7,0.1579
1.15E7,0.1819
1.22E7,0.1927
1.24E7,0.2096
1.26E7,0.2002
1.28E7,0.2008
1.3E7,0.1977
1.32E7,0.2146
1.34E7,0.2177
1.36E7,0.2014
1.38E7,0.1891
1.4E7,0.1965
1.42E7,0.1967
1.44E7,0.1907
1.46E7,0.1822
1.48E7,0.1718
1.5E7,0.1782
1.55E7,0.1569
1.6E7,0.1398
1.7E7,0.1222
1.8E7,0.1135
1.9E7,0.0971
2.0E7,0.0809

