25-Mn-55(n,&gamma;) ENDF/B-VII.1
1.0E-5,668.377
1.31241E-5,583.427
1.70876E-5,511.305
2.2426E-5,446.319
2.91987E-5,391.147
3.83206E-5,341.432
4.98935E-5,299.225
6.54808E-5,261.193
8.52562E-5,228.906
1.11891E-4,199.812
1.45682E-4,175.111
1.91195E-4,152.857
2.48937E-4,133.961
3.26707E-4,116.933
4.25373E-4,102.478
5.58264E-4,89.4528
7.26861E-4,78.3971
9.53941E-4,68.4329
0.00124203,59.9722
0.00163006,52.3502
0.00212234,45.8777
0.00278538,40.0475
0.00362657,35.096
0.00475955,30.637
0.00619694,26.8491
0.00813293,23.4382
0.0105891,20.5396
0.0138972,17.9326
0.0180942,15.7373
0.0234661,13.8363
0.0253,13.3228
0.033204,11.6274
0.0432317,10.2062
0.0567377,8.89972
0.0738726,7.79231
0.0969512,6.82001
0.126231,5.96392
0.165666,5.19936
0.215698,4.57021
0.283085,3.9826
0.368577,3.49246
0.483724,3.04823
0.629809,2.67234
0.900182,2.23758
1.18141,1.95438
1.5382,1.72462
1.99718,1.51298
2.57684,1.33339
3.58045,1.13674
4.64027,1.00647
6.59123,0.851854
8.6504,0.752318
12.6128,0.634914
16.5532,0.568927
21.5522,0.511052
30.0,0.456849
39.7098,0.416247
55.8764,0.383388
75.8391,0.367202
87.8822,0.366657
117.99,0.385359
142.076,0.420176
166.162,0.478676
187.84,0.559921
205.905,0.662061
222.765,0.803112
234.808,0.946327
246.851,1.14871
257.69,1.40673
267.325,1.73257
275.755,2.13878
282.981,2.62755
289.002,3.18889
295.024,3.96471
300.443,4.94507
305.26,6.16422
309.475,7.64152
313.088,9.36326
316.701,11.7044
319.712,14.3342
322.723,17.8319
325.734,22.5076
329.045,29.3782
333.23,40.7086
337.175,51.3552
339.583,54.8771
340.547,55.1856
342.1,54.2307
345.003,48.4372
351.506,29.991
354.637,23.0866
357.648,18.0697
360.659,14.3373
363.669,11.5543
367.282,9.10161
370.895,7.31798
375.11,5.8053
379.325,4.70474
384.143,3.78348
388.96,3.10473
394.981,2.48344
400.401,2.07064
407.025,1.6935
415.455,1.34633
423.885,1.09944
433.519,0.893372
444.358,0.727015
456.401,0.593787
470.853,0.481153
487.713,0.390175
504.574,0.326151
527.456,0.266857
551.542,0.224185
581.65,0.188489
617.779,0.161394
659.93,0.142158
714.124,0.128693
774.339,0.123579
832.092,0.127274
879.094,0.138755
914.346,0.156282
941.764,0.17977
965.265,0.213022
980.933,0.247157
996.6,0.297848
1009.13,0.35879
1018.53,0.423996
1027.94,0.516151
1036.16,0.631955
1043.02,0.768797
1048.89,0.930503
1054.77,1.15881
1059.66,1.42721
1064.07,1.76462
1068.18,2.20759
1071.71,2.74004
1074.94,3.42011
1077.68,4.21608
1080.32,5.27124
1082.67,6.56203
1084.78,8.13216
1086.98,10.3817
1088.98,13.1738
1090.92,16.7854
1093.27,22.5348
1096.95,32.5306
1098.5,34.9201
1099.22,35.2412
1100.79,34.0469
1102.73,29.755
1106.57,19.1784
1108.62,14.7643
1110.58,11.5916
1112.54,9.22822
1114.74,7.27733
1117.04,5.79974
1119.39,4.6946
1121.94,3.81124
1125.07,3.02429
1128.31,2.44225
1131.83,1.98119
1135.94,1.59349
1140.35,1.29567
1145.25,1.05605
1151.12,0.851291
1157.98,0.6846
1165.03,0.563474
1173.25,0.463235
1181.48,0.391498
1190.88,0.331907
1202.63,0.279485
1215.95,0.238153
1231.61,0.204837
1251.2,0.177324
1278.61,0.153408
1309.95,0.137696
1353.04,0.126464
1411.79,0.120673
1435.29,0.120201
1529.29,0.124867
1615.47,0.13695
1635.82,0.143319
1642.97,0.148062
1647.85,0.157614
1650.28,0.17012
1651.87,0.18874
1652.83,0.212348
1653.36,0.236674
1653.75,0.267534
1654.08,0.308993
1654.34,0.359212
1654.6,0.432362
1654.86,0.538113
1655.09,0.664098
1655.34,0.857532
1655.6,1.11641
1655.89,1.4982
1656.2,2.02349
1656.67,3.01386
1657.41,4.66665
1657.8,5.27634
1658.2,5.49783
1658.54,5.32771
1658.89,4.85207
1659.44,3.68462
1660.08,2.26749
1660.41,1.66508
1660.68,1.26704
1660.94,0.965852
1661.17,0.763926
1661.4,0.610685
1661.64,0.495231
1661.86,0.414015
1662.14,0.345456
1662.41,0.299055
1662.77,0.259217
1663.13,0.234387
1663.68,0.211755
1664.4,0.194337
1665.65,0.178163
1667.72,0.165448
1671.03,0.157685
1680.19,0.152487
1682.71,0.152362
1738.26,0.164934
1819.06,0.194706
1889.75,0.231997
1960.45,0.285396
2021.05,0.349969
2071.55,0.422798
2132.14,0.54341
2192.74,0.711603
2273.54,1.01039
2332.11,1.21871
2374.53,1.2937
2382.61,1.2965
2423.01,1.25128
2471.49,1.09444
2564.4,0.722317
2616.92,0.556764
2667.42,0.437178
2717.91,0.347603
2768.41,0.281615
2818.91,0.23161
2879.51,0.187185
2950.2,0.149823
3031.0,0.119454
3111.8,0.0977095
3202.69,0.0802765
3313.79,0.0655313
3445.08,0.0535745
3586.47,0.0448183
3748.07,0.0379495
3947.15,0.0323215
3986.06,0.0315969
3993.5,0.0321901
3994.74,0.0332671
3995.56,0.0353557
3996.18,0.0385088
3996.8,0.0438372
3997.42,0.0520002
3998.25,0.0674477
3999.7,0.0981699
4000.4,0.106742
4000.76,0.107987
4001.38,0.104578
4002.14,0.0923242
4003.68,0.059222
4004.41,0.047468
4004.93,0.041613
4005.68,0.0363206
4006.22,0.0341991
4007.32,0.0322882
4011.25,0.0312275
4182.46,0.0280426
4281.75,0.0269102
4293.49,0.0273354
4296.57,0.0283066
4297.67,0.0298753
4298.41,0.032719
4298.9,0.036504
4299.35,0.0421716
4299.8,0.0509778
4300.19,0.0618937
4300.57,0.0766922
4301.01,0.0991326
4301.52,0.132588
4302.21,0.189964
4303.41,0.297969
4304.09,0.338528
4304.65,0.349899
4305.22,0.337843
4305.82,0.302263
4306.93,0.204256
4307.69,0.138693
4308.2,0.103933
4308.61,0.0816316
4309.02,0.0646266
4309.44,0.0522378
4309.85,0.0435819
4310.26,0.0377579
4310.81,0.033034
4311.36,0.0304718
4312.28,0.0285607
4313.75,0.0275766
4318.74,0.02676
4458.82,0.0250041
4769.94,0.0233214
4855.01,0.0238806
4879.32,0.0247714
4895.55,0.0264125
4903.7,0.0281788
4911.04,0.0311276
4915.94,0.0346534
4920.01,0.0396018
4923.27,0.046185
4925.72,0.0540799
4927.84,0.0647533
4929.55,0.0781037
4930.78,0.092228
4931.92,0.111559
4932.73,0.131904
4933.39,0.15545
4933.87,0.180532
4934.36,0.216321
4934.79,0.261665
4935.16,0.316463
4935.53,0.392668
4935.87,0.492086
4936.2,0.618597
4936.52,0.7869
4936.85,1.00834
4937.2,1.32017
4937.56,1.73527
4937.92,2.26443
4938.35,3.07285
4938.86,4.29151
4939.5,6.15739
4940.89,10.6973
4941.64,12.4767
4942.28,13.0887
4942.35,13.0961
4942.96,12.6523
4943.61,11.2871
4944.64,8.04665
4945.58,5.01156
4946.12,3.60744
4946.6,2.60618
4947.0,1.93741
4947.37,1.46875
4947.74,1.10846
4948.05,0.870623
4948.36,0.69247
4948.72,0.536055
