29-Cu-63(n,&gamma;) ENDF/B-VII.1
1.0E-5,225.056
1.31241E-5,196.452
1.70876E-5,172.167
2.2426E-5,150.285
2.91987E-5,131.707
3.83206E-5,114.967
4.98935E-5,100.755
6.54808E-5,87.949
8.52562E-5,77.0775
1.11891E-4,67.2808
1.45682E-4,58.9634
1.91195E-4,51.47
2.48937E-4,45.1075
3.26707E-4,39.3735
4.25373E-4,34.5064
5.58264E-4,30.1205
7.26861E-4,26.3978
9.53941E-4,23.0427
0.00124203,20.1937
0.00163006,17.6272
0.00212234,15.4477
0.00278538,13.4844
0.00362657,11.8172
0.00475955,10.3157
0.00619694,9.04005
0.00813293,7.89159
0.0105891,6.9155
0.0138972,6.03705
0.0180942,5.29866
0.0234661,4.66168
0.0253,4.48989
0.033204,3.91742
0.0432317,3.42717
0.0567377,2.99084
0.0738726,2.62363
0.0969512,2.2924
0.138572,1.9157
0.18042,1.67609
0.236786,1.46322
0.308296,1.2815
0.40461,1.11756
0.578306,0.934001
0.752956,0.817715
0.988188,0.716406
1.28662,0.624992
1.68858,0.542946
2.19853,0.474734
2.88538,0.412887
3.75676,0.362188
4.43232,0.330133
5.81703,0.286498
7.57378,0.250177
9.27143,0.223081
12.1174,0.192368
15.1043,0.170613
18.5163,0.150777
23.1388,0.131831
27.6631,0.118262
37.0061,0.0979666
46.251,0.0841722
57.2206,0.0723885
70.5377,0.0618039
88.1657,0.0519895
109.909,0.0436211
132.236,0.0374087
160.621,0.0317736
199.764,0.0264434
232.383,0.0234707
281.963,0.0205114
332.118,0.0191476
349.81,0.0190419
382.69,0.0196346
391.562,0.0204242
395.607,0.02179
396.911,0.0229984
397.923,0.0248655
398.64,0.0274604
399.146,0.0308619
399.513,0.0353338
399.733,0.0399248
399.916,0.0460939
400.063,0.0538346
400.19,0.0637961
400.304,0.0767327
400.418,0.0949586
400.532,0.120338
400.646,0.155009
400.764,0.202692
400.889,0.269532
401.038,0.37154
401.217,0.526077
401.635,0.926193
401.804,1.04014
401.979,1.08939
401.999,1.08993
402.163,1.05449
402.339,0.945986
402.626,0.678437
402.881,0.437495
403.037,0.316731
403.174,0.233672
403.285,0.181505
403.399,0.140278
403.514,0.109631
403.628,0.0873644
403.742,0.0714476
403.843,0.0612664
403.98,0.0515968
404.151,0.0438392
404.322,0.0389122
404.596,0.0340703
405.034,0.0298012
405.523,0.0271377
406.175,0.0251051
407.48,0.0231543
408.785,0.0222955
413.221,0.0215036
414.526,0.0214755
427.898,0.0223593
443.895,0.024358
454.878,0.0263328
465.862,0.0288912
482.336,0.0348925
493.319,0.0410339
503.75,0.0494676
512.35,0.0597329
518.8,0.0704984
525.25,0.0853626
530.894,0.103571
535.731,0.125164
540.166,0.152459
544.197,0.18663
547.556,0.225845
550.916,0.279938
553.939,0.34835
556.627,0.433887
558.978,0.53875
561.061,0.668097
562.942,0.830008
564.622,1.03262
566.033,1.26765
567.309,1.55847
568.485,1.92664
569.594,2.4096
570.534,2.97913
