30-Zn-64(n,p) ENDF/B-VII.1
76449.9,0.0
143127.0,8.37055E-8
161749.0,1.32087E-7
377498.0,8.98245E-7
412192.0,1.03284E-6
467263.0,1.32741E-6
544514.0,1.79083E-6
551822.0,1.84124E-6
685937.0,2.84885E-6
703649.0,2.99286E-6
735509.0,3.2813E-6
900000.0,1.10545E-5
900000.0,4.88507E-6
911931.0,1.20931E-5
924401.0,1.32666E-5
933001.0,1.41312E-5
943427.0,1.52436E-5
948683.0,1.58322E-5
960469.0,1.73913E-5
970203.0,1.87779E-5
980741.0,2.03864E-5
990324.0,2.19516E-5
1000000.0,2.74494E-5
1000000.0,2.36369E-5
1007200.0,2.91898E-5
1030560.0,3.18904E-5
1056060.0,3.50483E-5
1077810.0,3.80157E-5
1100000.0,4.12343E-5
1112400.0,4.5195E-5
1123620.0,4.90536E-5
1134960.0,5.32416E-5
1143480.0,5.65729E-5
1156380.0,6.19647E-5
1169420.0,6.78703E-5
1183850.0,7.49554E-5
1194590.0,8.06372E-5
1200000.0,8.36377E-5
1212710.0,9.18834E-5
1223200.0,9.92169E-5
1234530.0,1.07725E-4
1244820.0,1.16004E-4
1260910.0,1.29883E-4
1272420.0,1.40407E-4
1289060.0,1.56797E-4
1300000.0,1.68409E-4
1312460.0,1.83893E-4
1327750.0,2.04144E-4
1346350.0,2.30852E-4
1357540.0,2.48012E-4
1376540.0,2.79414E-4
1392140.0,3.0727E-4
1400000.0,3.22223E-4
1413340.0,3.51857E-4
1426470.0,3.82598E-4
1442240.0,4.21615E-4
1458630.0,4.64953E-4
1475780.0,5.1339E-4
1491880.0,5.62137E-4
1500000.0,5.8822E-4
1516810.0,6.52357E-4
1535850.0,7.29496E-4
1548430.0,7.83408E-4
1570600.0,8.85744E-4
1585650.0,9.59085E-4
1600710.0,0.0010375
1618700.0,0.00114292
1633310.0,0.00123502
1649730.0,0.00134635
1666840.0,0.00147167
1685710.0,0.00162173
1706080.0,0.00179805
1722930.0,0.00195475
1741880.0,0.00214538
1761640.0,0.00236147
1775250.0,0.00252114
1791710.0,0.00272707
1813820.0,0.00302572
1827740.0,0.00322784
1863520.0,0.00354928
1900000.0,0.00390274
1920120.0,0.00421784
1940450.0,0.00455838
1970000.0,0.00495106
2000000.0,0.00537757
2014780.0,0.0057244
2037150.0,0.00628704
2059770.0,0.00690498
2086480.0,0.00760309
2109640.0,0.00825739
2121320.0,0.00860536
2152780.0,0.00947666
2185720.0,0.0104677
2208460.0,0.0112021
2236070.0,0.0121519
2250000.0,0.0126565
2272920.0,0.0136221
2303360.0,0.0150022
2329780.0,0.0162959
2362160.0,0.0179581
2391040.0,0.0195251
2420280.0,0.0212287
2454840.0,0.0231743
2484860.0,0.0249832
2500000.0,0.0259399
2532200.0,0.0284451
2560120.0,0.0307841
2574200.0,0.0320248
2612120.0,0.0351905
2675110.0,0.0408687
2712300.0,0.0444049
2750000.0,0.0482472
2823220.0,0.0564507
2837880.0,0.0581674
2877570.0,0.0617194
2938150.0,0.0674583
3000000.0,0.0737308
3026800.0,0.0773158
3045690.0,0.0787461
3053110.0,0.0789513
3126330.0,0.0837232
3143410.0,0.0850717
3237060.0,0.0942113
3247240.0,0.0943042
3291120.0,0.0964881
3313460.0,0.0979947
3343010.0,0.0992314
3349200.0,0.0995732
3359020.0,0.0991592
3419060.0,0.101223
3422990.0,0.101043
3479190.0,0.102995
3503380.0,0.103644
3519670.0,0.104312
3555220.0,0.106493
3602960.0,0.108162
3661110.0,0.111551
3685650.0,0.11278
4000000.0,0.125892
4500000.0,0.142644
4870020.0,0.161741
5000000.0,0.168659
5500000.0,0.184256
6000000.0,0.197224
6500000.0,0.207937
7000000.0,0.217234
7500000.0,0.225375
8000000.0,0.229374
9000000.0,0.24528
9746790.0,0.255976
1.0E7,0.259362
1.05E7,0.264137
1.1E7,0.266227
1.15E7,0.262237
1.2E7,0.253022
1.25E7,0.237151
1.28732E7,0.222403
1.3E7,0.217694
1.33732E7,0.20137
1.35E7,0.196206
1.37477E7,0.185388
1.4E7,0.175166
1.42478E7,0.164769
1.46234E7,0.150317
1.48734E7,0.14139
1.5248E7,0.128918
1.55E7,0.1212
1.5748E7,0.114285
1.6E7,0.107765
1.62481E7,0.101894
1.65E7,0.0963421
1.68736E7,0.0892948
1.7E7,0.0870622
1.73736E7,0.0812296
1.75E7,0.0793735
1.78737E7,0.0747266
1.8E7,0.0732388
1.85E7,0.0682987
1.9E7,0.0640679
1.95E7,0.0604778
2.0E7,0.0574802

