45-Rh-103(n,&gamma;) ENDF/B-VII.1
1.0E-5,6885.3
1.31241E-5,6010.22
1.70876E-5,5267.28
2.2426E-5,4597.86
2.91987E-5,4029.52
3.83206E-5,3517.41
4.98935E-5,3082.65
6.54808E-5,2690.91
8.52562E-5,2358.36
1.11891E-4,2058.69
1.45682E-4,1804.28
1.91195E-4,1575.1
2.48937E-4,1380.52
3.26707E-4,1205.17
4.25373E-4,1056.35
5.58264E-4,922.266
7.26861E-4,808.492
9.53941E-4,705.975
0.00124203,618.958
0.00163006,540.61
0.00212234,474.113
0.00278538,414.264
0.00362657,363.507
0.00475955,317.9
0.00619694,279.217
0.00813293,244.653
0.0105891,215.449
0.0138972,188.85
0.0180942,166.736
0.0234661,147.853
0.0253,142.846
0.033204,126.171
0.0432317,112.066
0.0567377,99.8096
0.0810948,86.889
0.105586,79.3395
0.150913,71.5811
0.198059,67.7757
0.263491,66.3454
0.345809,68.4135
0.450243,75.8742
0.53828,86.8484
0.617217,101.709
0.690715,121.927
0.75363,146.633
0.811381,178.941
0.860408,217.567
0.905557,267.31
0.944177,326.661
0.980384,404.055
1.0108,493.92
1.04169,621.011
1.06873,777.552
1.09383,980.985
1.117,1243.02
1.13825,1573.18
1.15997,2030.17
1.1842,2703.93
1.22591,4034.9
1.24136,4374.98
1.25774,4508.13
1.27689,4322.15
1.30103,3678.52
1.34332,2303.3
1.36466,1761.93
1.38397,1388.24
1.40328,1106.17
1.425,871.275
1.44721,695.618
1.47038,560.495
1.49645,448.738
1.52686,354.513
1.55631,288.068
1.59107,230.477
1.62873,185.116
1.67217,147.245
1.71755,118.548
1.76969,94.6091
1.83052,74.6474
1.89135,60.2016
1.957,48.7383
2.03424,38.9004
2.12114,30.933
2.21383,24.7982
2.31038,20.1307
2.43396,15.8314
2.55369,12.8114
2.68886,10.316
2.84334,8.24908
3.01713,6.57818
3.19092,5.36263
3.38403,4.36627
3.61575,3.49723
3.84747,2.86897
4.13713,2.29361
4.42678,1.87757
4.77437,1.51495
5.17988,1.21405
5.64333,0.971745
6.1647,0.780173
6.74401,0.630858
7.36194,0.516282
8.05711,0.423268
8.82952,0.348821
9.79503,0.282414
10.8378,0.231282
12.0736,0.188285
13.3095,0.15727
14.81,0.130093
16.3105,0.109944
18.111,0.0918104
20.4424,0.075361
23.3738,0.0613086
26.5242,0.0515726
29.2245,0.0465573
30.7246,0.0454754
31.8685,0.0467559
32.356,0.048891
32.7873,0.0530059
33.0686,0.0582622
33.303,0.0661229
33.4793,0.0763759
33.6087,0.0886775
33.7099,0.103621
33.7999,0.124074
33.8599,0.144298
33.9199,0.17379
33.9687,0.209309
34.0109,0.253932
34.0489,0.311266
34.0812,0.378756
34.115,0.474338
34.1487,0.603391
34.1853,0.790007
34.2233,1.04267
34.2725,1.45821
34.3782,2.47761
34.418,2.76255
34.4645,2.92232
34.4745,2.92769
34.5133,2.84895
34.5575,2.58603
34.6325,1.8926
34.7,1.25522
34.7422,0.932889
34.7797,0.709111
34.8125,0.558951
34.843,0.452124
34.8796,0.35703
34.9152,0.290534
34.9513,0.241901
34.9926,0.202121
35.0441,0.167678
35.1051,0.140188
35.1801,0.117591
35.2551,0.102163
35.3695,0.0864596
35.5054,0.0746786
35.6958,0.0646716
35.9377,0.0573673
36.1252,0.0538784
36.5002,0.0497755
37.2315,0.0466666
37.7753,0.0461799
38.8255,0.0475139
39.9391,0.05175
40.7563,0.0573131
41.5736,0.0662873
42.2205,0.0774935
42.7313,0.090734
43.191,0.108422
43.5315,0.127763
43.7868,0.149133
43.9503,0.170102
44.0422,0.18873
44.1188,0.213755
44.1776,0.244318
44.2355,0.289942
44.2925,0.354693
44.3691,0.472813
44.4781,0.655005
44.5373,0.71772
44.5823,0.732529
44.6272,0.717109
44.7062,0.634264
44.8254,0.480345
44.8901,0.425663
44.9616,0.396621
45.0195,0.392232
45.1165,0.409327
45.2459,0.460191
45.3957,0.549587
45.5328,0.665812
45.6555,0.810301
45.7675,0.992851
45.872,1.23156
45.9579,1.50537
46.0315,1.8277
46.1051,2.27919
46.1665,2.81597
46.2156,3.41622
46.2646,4.2584
46.3055,5.24261
46.3444,6.52871
46.3812,8.18895
46.418,10.4269
46.4568,13.5965
46.4977,18.0284
46.5427,24.3708
46.5979,34.1916
46.7206,58.7277
46.7799,66.7241
46.8288,68.936
46.8756,66.8143
46.9272,60.2144
47.0151,43.0962
47.0907,28.3053
47.1373,20.9503
47.1787,15.7967
47.2139,12.3868
47.2533,9.49425
47.2911,7.44407
47.3279,5.97196
47.3688,4.77773
47.4097,3.91139
47.4588,3.16271
47.5099,2.60368
47.5713,2.12062
47.6428,1.71864
47.7287,1.37732
47.8125,1.13726
47.9168,0.920041
48.0385,0.739436
48.1786,0.592228
48.3217,0.484278
48.4853,0.394718
48.6642,0.323694
48.884,0.261166
49.1294,0.211854
49.416,0.171404
49.7268,0.140504
50.0783,0.115759
50.5039,0.0949184
51.0011,0.0783357
51.3824,0.0697646
51.5459,0.0683843
51.851,0.0727399
51.9749,0.070297
52.2541,0.0574
52.4176,0.0535302
52.9079,0.0478348
53.8068,0.0412251
54.8964,0.0361154
56.1222,0.0324972
58.029,0.0294154
60.1057,0.0283266
61.6194,0.0289929
62.965,0.0312604
63.9741,0.0351096
64.6468,0.0398521
65.1514,0.0456725
65.5719,0.0532267
65.9398,0.0634289
66.2236,0.075337
66.4759,0.0909821
66.6966,0.111279
66.8543,0.13197
67.0015,0.158719
67.1276,0.190542
67.2538,0.235537
67.3484,0.283112
67.443,0.350169
67.5166,0.424306
67.5796,0.513093
67.6322,0.615389
67.6827,0.751167
67.7247,0.906001
67.7667,1.11517
67.8088,1.39935
67.8456,1.72964
67.8897,2.25546
67.9318,2.91745
67.9791,3.88162
68.0359,5.36392
68.122,8.16597
68.2293,11.6614
68.2831,12.8551
68.3465,13.3862
68.4008,12.9893
68.471,11.4495
68.6518,5.52206
68.7086,4.01038
68.7549,3.03901
68.8011,2.29094
68.8453,1.75629
68.8894,1.36231
68.9346,1.06986
68.9819,0.85091
69.0345,0.679593
69.087,0.55854
69.1501,0.455512
69.2258,0.369321
69.3088,0.302991
69.4087,0.246691
69.5285,0.199577
69.661,0.163238
69.8187,0.133032
70.0026,0.108707
70.2128,0.089624
70.4704,0.0738049
70.7542,0.0620898
71.0958,0.0526597
71.4375,0.0462535
71.9,0.0404184
72.4676,0.0358681
73.2245,0.0322378
74.3598,0.0294272
75.474,0.0281964
76.6417,0.0278005
78.9968,0.0287869
80.4884,0.0307118
81.5874,0.0337044
82.1291,0.0370717
82.4274,0.0410047
82.6158,0.0458959
82.7336,0.0515474
82.8121,0.0579065
82.8709,0.0652611
82.9318,0.0767337
82.9867,0.092247
83.0417,0.114765
83.0898,0.141999
83.1423,0.181431
83.2061,0.244171
83.2988,0.360039
83.4087,0.502807
83.4841,0.570631
83.5498,0.591277
83.6034,0.577463
83.6638,0.531723
83.762,0.413364
83.8719,0.270767
83.9366,0.2023
83.9935,0.155806
84.0465,0.123552
84.0995,0.100288
84.1564,0.0830287
84.2055,0.0728194
84.2644,0.0644638
84.3429,0.0574793
84.4606,0.0516941
84.649,0.0473405
84.9631,0.0447164
85.1986,0.0442123
85.9051,0.0454531
86.9649,0.0507593
88.1032,0.0601429
89.0828,0.0726508
89.8613,0.0873913
90.4451,0.102882
91.0212,0.124223
91.5252,0.150559
91.9676,0.182983
92.3379,0.220571
92.7082,0.273075
93.0374,0.339394
93.3049,0.414968
93.5518,0.512177
93.7626,0.627628
93.9684,0.785704
94.1484,0.982673
94.2924,1.20299
94.4159,1.46132
94.5393,1.82103
94.6473,2.27136
94.7368,2.80633
94.8109,3.43679
94.8726,4.17609
94.9323,5.18684
94.9837,6.41646
95.03,7.93882
95.0763,10.0109
95.1195,12.6075
95.1606,15.8424
95.21,20.9392
95.2614,27.9221
95.317,37.5989
95.389,53.356
95.568,98.0616
95.6396,110.287
95.7113,114.741
95.768,111.947
95.8437,100.366
95.9558,73.2688
96.0566,48.0919
96.1224,34.5589
96.178,25.5567
96.2284,19.2548
96.2716,15.0991
96.3128,12.0366
96.3539,9.68338
96.3951,7.88913
96.4444,6.29271
96.4959,5.09503
96.5473,4.22506
96.6049,3.51233
96.679,2.85784
96.7654,2.32301
96.8641,1.89198
96.9793,1.5357
97.1022,1.2639
97.249,1.03141
97.4204,0.842162
97.594,0.710427
97.7676,0.623613
97.9368,0.581184
97.9902,0.579314
98.0971,0.603328
98.1839,0.668028
98.2562,0.774236
98.3141,0.909
98.3753,1.11369
98.4454,1.43887
98.5311,1.9636
98.6847,3.02825
98.7702,3.444
98.8412,3.5643
98.9055,3.46645
98.9741,3.16531
99.0943,2.34132
99.2101,1.52477
99.2774,1.14424
99.3347,0.891155
99.3948,0.691471
99.4482,0.561518
99.5083,0.456706
99.5662,0.386009
99.633,0.32944
99.722,0.279795
99.8333,0.240368
99.9847,0.206213
100.163,0.179671
100.448,0.151656
100.782,0.130007
101.227,0.110565
101.694,0.096523
102.407,0.0821106
103.208,0.07176
104.098,0.0646069
105.247,0.0597228
106.15,0.0585369
107.15,0.0605112
107.6,0.0636254
107.875,0.067485
108.062,0.072946
108.156,0.078466
108.25,0.0888207
108.312,0.100733
108.375,0.119093
108.437,0.146452
108.495,0.181674
108.562,0.236903
108.651,0.330482
108.802,0.503533
108.88,0.563942
108.951,0.584005
109.03,0.561447
109.113,0.495343
109.31,0.28176
109.385,0.219507
109.448,0.182126
109.51,0.157021
109.568,0.142904
109.643,0.134318
109.681,0.133181
109.756,0.13561
109.871,0.149289
109.972,0.171966
110.052,0.201452
110.122,0.241316
110.178,0.287545
110.235,0.35545
110.285,0.440064
110.336,0.555188
110.389,0.716243
110.44,0.918181
110.502,1.23761
110.578,1.7289
110.769,3.1805
110.849,3.60493
110.924,3.76294
110.929,3.76388
111.004,3.63111
111.086,3.206
111.31,1.54111
111.379,1.13051
111.438,0.856181
111.49,0.668205
111.542,0.526632
111.595,0.422929
111.646,0.349754
111.706,0.291108
111.765,0.252595
111.825,0.228287
111.884,0.214537
111.954,0.209435
112.042,0.219052
112.114,0.240921
112.186,0.276129
112.292,0.349526
112.469,0.4855
112.566,0.526167
112.603,0.53013
112.687,0.514246
112.79,0.457058
112.959,0.340638
113.044,0.30143
113.12,0.286199
113.131,0.285815
113.198,0.294329
113.258,0.320173
113.32,0.37041
113.375,0.440142
113.43,0.541856
113.484,0.684915
113.536,0.866913
113.597,1.15286
113.665,1.56477
113.759,2.28249
113.912,3.52189
113.993,3.96541
114.069,4.11582
114.146,3.96439
114.232,3.48363
114.453,1.71117
114.521,1.268
114.584,0.945243
114.638,0.732853
114.692,0.57291
114.746,0.455525
114.8,0.37154
114.859,0.306062
114.928,0.254215
115.007,0.215407
115.086,0.189647
115.191,0.166832
115.331,0.14759
115.506,0.132944
115.745,0.121638
116.04,0.114753
