45-Rh-103(n,inelastic) ENDF/B-VII.1
40149.7,0.0
50000.0,0.00264152
70000.0,0.0071661
80000.0,0.00949999
90000.0,0.0119298
93952.0,0.0128302
100000.0,0.01472
150000.0,0.0353394
200000.0,0.0601261
297871.0,0.115608
300000.0,0.14457
360913.0,0.445007
400000.0,0.77776
500000.0,1.11236
542102.0,1.15165
600000.0,1.27523
613404.0,1.28348
650000.0,1.34433
656462.0,1.34368
658189.0,1.34492
700000.0,1.43567
750000.0,1.49483
800000.0,1.53187
810942.0,1.53243
850000.0,1.5784
855888.0,1.58067
889100.0,1.60731
900000.0,1.62583
950000.0,1.67305
1000000.0,1.70968
1100000.0,1.7595
1117550.0,1.75526
1147030.0,1.76269
1200000.0,1.81091
1250000.0,1.83454
1264030.0,1.83338
1289560.0,1.84763
1300000.0,1.85961
1306130.0,1.86089
1362730.0,1.89334
1400000.0,1.91086
1424720.0,1.91473
1450000.0,1.93115
1452230.0,1.93081
1481080.0,1.94104
1505840.0,1.95569
1545610.0,1.97296
1650000.0,2.00928
2000000.0,2.0746
2500000.0,2.09094
3000000.0,2.14461
3500000.0,2.14242
4000000.0,2.14772
5000000.0,2.14522
6000000.0,2.14963
8000000.0,2.09498
9000000.0,2.04626
1.0E7,1.88222
1.1E7,1.36338
1.2E7,0.956457
1.3E7,0.71644
1.4E7,0.577469
1.45E7,0.52172
1.5E7,0.479809
1.6E7,0.447382
1.7E7,0.410612
1.8E7,0.395594
1.9E7,0.382049
2.0E7,0.366689
