45-Rh-103(n,p) ENDF/B-VII.1
1500000.0,0.0
1550000.0,1.06395E-8
1600000.0,1.8018E-8
1650000.0,2.6838E-8
1700000.0,4.63301E-8
2000000.0,3.77277E-7
2500000.0,5.82184E-6
3000000.0,3.81012E-5
3500000.0,1.25891E-4
4000000.0,2.79477E-4
5000000.0,7.32962E-4
6000000.0,0.00110444
7000000.0,0.00161023
8000000.0,0.00262236
9000000.0,0.00446917
1.0E7,0.0072133
1.1E7,0.0110428
1.2E7,0.0144998
1.3E7,0.0186089
1.4E7,0.0206192
1.45E7,0.0215431
1.5E7,0.0222781
1.6E7,0.0231214
1.7E7,0.023735
1.8E7,0.0238848
1.9E7,0.0239763
2.0E7,0.0238237
