48-Cd-106(n,p) ENDF/B-VII.1
500000.0,0.0
1000000.0,4.0E-8
1011690.0,4.36481E-8
1023250.0,4.75857E-8
1034670.0,5.18204E-8
1045970.0,5.63818E-8
1057120.0,6.12776E-8
1068150.0,6.65409E-8
1079050.0,7.2179E-8
1089820.0,7.82286E-8
1100460.0,8.46966E-8
1110990.0,9.16236E-8
1121380.0,9.90161E-8
1131660.0,1.06919E-7
1141810.0,1.15337E-7
1151860.0,1.2432E-7
1161770.0,1.33872E-7
1171580.0,1.44047E-7
1181260.0,1.54848E-7
1190850.0,1.66334E-7
1200300.0,1.78506E-7
1209660.0,1.91427E-7
1218900.0,2.05098E-7
1228040.0,2.19588E-7
1234070.0,2.29703E-7
1246040.0,2.51176E-7
1257820.0,2.74273E-7
1269420.0,2.99083E-7
1280830.0,3.25696E-7
1292070.0,3.54205E-7
1303130.0,3.84704E-7
1314020.0,4.17291E-7
1324740.0,4.52063E-7
1335290.0,4.89121E-7
1345680.0,5.28565E-7
1355900.0,5.70499E-7
1365960.0,6.15026E-7
1375870.0,6.62249E-7
1385620.0,7.12275E-7
1395220.0,7.65208E-7
1404670.0,8.21155E-7
1413970.0,8.80222E-7
1423130.0,9.42513E-7
1432140.0,1.00814E-6
1441020.0,1.07719E-6
1449750.0,1.14979E-6
1458350.0,1.22603E-6
1466810.0,1.30601E-6
1479240.0,1.43306E-6
1491420.0,1.56943E-6
1503270.0,1.71474E-6
1514890.0,1.87005E-6
1526200.0,2.03486E-6
1537270.0,2.21031E-6
1548060.0,2.39575E-6
1558630.0,2.59241E-6
1568920.0,2.79948E-6
1578990.0,3.01826E-6
1588810.0,3.24781E-6
1598420.0,3.48949E-6
1607780.0,3.7422E-6
1616950.0,4.00738E-6
1628920.0,4.38208E-6
1640520.0,4.77845E-6
1651750.0,5.1966E-6
1662640.0,5.63653E-6
1673180.0,6.09821E-6
1683390.0,6.58149E-6
1693290.0,7.08616E-6
1702870.0,7.61193E-6
1712160.0,8.15844E-6
1721150.0,8.72527E-6
1729860.0,9.31191E-6
1742400.0,1.02253E-5
1754410.0,1.11848E-5
1765800.0,1.2178E-5
1776720.0,1.32126E-5
1787080.0,1.42751E-5
1797000.0,1.53736E-5
1806420.0,1.64935E-5
1815450.0,1.76435E-5
1826980.0,1.92306E-5
1837800.0,2.08478E-5
1847930.0,2.24873E-5
1857440.0,2.41413E-5
1866350.0,2.58022E-5
1878740.0,2.83045E-5
1889870.0,3.07577E-5
1900090.0,3.31952E-5
1906330.0,3.47798E-5
1918040.0,3.79576E-5
1928280.0,4.09754E-5
1937250.0,4.38122E-5
1948520.0,4.76609E-5
1957960.0,5.11408E-5
1968470.0,5.53159E-5
1976350.0,5.86694E-5
1988180.0,6.40848E-5
2000000.0,7.0E-5
2023320.0,7.51849E-5
2046150.0,8.06341E-5
2068390.0,8.63216E-5
2090160.0,9.22794E-5
2118600.0,1.00681E-4
2146140.0,1.09549E-4
2172820.0,1.18884E-4
2198670.0,1.28685E-4
2223710.0,1.3895E-4
2247970.0,1.49674E-4
2271470.0,1.60852E-4
2294240.0,1.72476E-4
2316290.0,1.84537E-4
2337660.0,1.97025E-4
2358360.0,2.09928E-4
2388280.0,2.30087E-4
2416650.0,2.50992E-4
2443850.0,2.72811E-4
2469650.0,2.95256E-4
2494380.0,3.18502E-4
2517830.0,3.42239E-4
2540310.0,3.66651E-4
2569040.0,4.00399E-4
2595980.0,4.34854E-4
2621230.0,4.69843E-4
2644900.0,5.05197E-4
2667100.0,5.40755E-4
2697660.0,5.93847E-4
2725700.0,6.47136E-4
2750880.0,6.99053E-4
2773980.0,7.50346E-4
2802230.0,8.18211E-4
2826950.0,8.8261E-4
2848580.0,9.43103E-4
2875790.0,0.00102511
2898560.0,0.00109921
2923920.0,0.00118805
2951090.0,0.00129121
2975550.0,0.00139169
3000000.0,0.0015
3062500.0,0.00160661
3121090.0,0.00171344
3201770.0,0.00187224
3275800.0,0.00203087
3342280.0,0.00218475
3403280.0,0.00233617
3477870.0,0.00253567
3543140.0,0.00272416
3626900.0,0.00298673
3693940.0,0.00321502
3750050.0,0.00341944
3812540.0,0.00366243
3879490.0,0.00394197
3959830.0,0.00430572
4000000.0,0.0045
4125000.0,0.00490728
4234380.0,0.00529379
4330080.0,0.00565687
4450450.0,0.00614912
4551200.0,0.00659389
4663400.0,0.00712717
4783620.0,0.00774648
4891810.0,0.00834975
5000000.0,0.009
5179690.0,0.00974366
5330080.0,0.0104131
5497560.0,0.0112129
5677000.0,0.0121381
5838500.0,0.0130358
6000000.0,0.014
6250000.0,0.0153057
6507810.0,0.0167799
6683590.0,0.0178656
6894530.0,0.0192616
7000000.0,0.02
7250000.0,0.0215582
7437500.0,0.0228061
7718750.0,0.0248146
8000000.0,0.027
8343750.0,0.0293736
8718750.0,0.0322017
9000000.0,0.0345
9250000.0,0.0364528
9625000.0,0.0395913
1.0125E7,0.0440864
1.04375E7,0.0469241
1.08125E7,0.0505714
1.1E7,0.0525
1.15E7,0.0570526
1.2E7,0.062
1.25E7,0.0677348
1.35E7,0.0802372
1.4E7,0.087
1.45E7,0.093
1.5E7,0.1005
1.575E7,0.109372
1.6E7,0.1125
1.7E7,0.123
1.8E7,0.132
1.9E7,0.139
2.0E7,0.144
