48-Cd-106(n,total) ENDF/B-VII.1
1.0E-5,75.4431
1.31241E-5,65.9473
1.70876E-5,57.8981
2.2426E-5,50.6601
2.91987E-5,44.5313
3.83206E-5,39.0274
4.98935E-5,34.3751
6.54808E-5,30.2063
8.52562E-5,26.6921
1.11891E-4,23.5534
1.45682E-4,20.9178
1.91195E-4,18.575
2.48937E-4,16.6177
3.26707E-4,14.8868
4.6696E-4,12.9914
6.67422E-4,11.4555
9.53941E-4,10.2128
0.00136346,9.20534
0.00212234,8.21449
0.00333,7.4314
0.00518342,6.83118
0.00885724,6.27525
0.0166146,5.79547
0.0234661,5.59319
0.0253,5.55305
0.0567377,5.21096
0.150913,4.94772
0.526803,4.75411
3.53773,4.60226
51.1832,4.36946
360.897,3.81918
411.297,3.56207
430.978,3.29826
441.033,2.9895
446.325,2.67738
451.176,2.27631
451.743,2.26944
452.436,2.33624
452.956,2.50197
453.397,2.80711
453.731,3.23245
453.999,3.79104
454.2,4.42601
454.395,5.33913
454.547,6.38499
454.672,7.62598
454.797,9.38764
454.897,11.4373
454.99,14.1032
455.073,17.3762
455.145,21.2112
455.224,26.778
455.302,34.2671
455.381,44.2671
455.46,57.465
455.539,74.6182
455.625,98.9792
455.715,131.265
455.825,181.753
455.958,258.163
456.225,447.05
456.399,560.779
456.546,625.279
456.682,645.001
456.808,625.68
456.969,555.209
457.259,361.669
457.44,245.92
457.558,184.681
457.668,139.358
457.771,106.955
457.87,83.2451
457.969,65.6966
458.068,52.9164
458.163,44.0503
458.276,36.4399
458.408,30.3554
458.56,25.6711
458.728,22.1061
458.949,18.9028
459.224,16.1714
459.555,13.9246
459.988,11.9333
460.595,10.1306
461.414,8.62947
462.516,7.42374
463.871,6.54658
465.918,5.78654
468.753,5.21046
472.533,4.79155
478.431,4.44184
490.754,4.09922
493.183,4.07514
494.918,4.14722
495.352,4.3058
495.579,4.57101
495.731,4.92565
495.883,5.52125
496.046,6.53462
496.219,8.12739
496.475,11.282
496.722,14.3048
496.892,15.5655
496.999,15.8063
497.16,15.2716
497.364,13.3205
497.759,8.33508
497.933,6.67386
498.079,5.68634
498.193,5.15152
498.345,4.68384
498.572,4.322
498.865,4.14043
499.516,4.02426
506.195,3.8551
558.929,3.1779
579.058,2.75167
592.613,2.30132
601.876,1.85084
608.654,1.40918
617.973,0.67758
619.413,0.592659
620.6,0.552341
621.193,0.547903
621.997,0.566283
622.76,0.619128
623.445,0.707407
624.073,0.834741
624.666,1.0094
625.273,1.26127
625.838,1.58427
626.403,2.02249
626.968,2.61703
627.462,3.31134
627.97,4.25694
628.459,5.46866
628.942,7.07254
629.394,9.08757
629.789,11.4248
630.207,14.7231
630.568,18.5498
630.93,23.6823
631.246,29.7165
631.563,37.8629
631.834,47.3132
632.082,58.9372
632.319,73.9562
632.523,91.3653
632.726,115.061
632.896,141.898
633.054,175.38
633.212,220.347
633.37,281.193
633.528,363.414
633.686,473.189
633.856,627.945
634.042,847.318
