48-Cd-110(n,&gamma;) ENDF/B-VII.1
1.0E-5,556.508
1.31241E-5,485.777
1.70876E-5,425.725
2.2426E-5,371.617
2.91987E-5,325.678
3.83206E-5,284.283
4.98935E-5,249.14
6.54808E-5,217.474
8.52562E-5,190.591
1.11891E-4,166.366
1.45682E-4,145.799
1.91195E-4,127.269
2.48937E-4,111.536
3.26707E-4,97.3561
4.25373E-4,85.3201
5.58264E-4,74.4733
7.26861E-4,65.2675
9.53941E-4,56.9695
0.00124203,49.9231
0.00163006,43.5752
0.00212234,38.1832
0.00278538,33.3255
0.00362657,29.2003
0.00475955,25.4879
0.00619694,22.3311
0.00813293,19.5029
0.0105891,17.1053
0.0138972,14.9074
0.0180942,13.0688
0.0234661,11.4824
0.0253,11.0574
0.033204,9.63153
0.0432317,8.40768
0.0567377,7.31426
0.0738726,6.40185
0.0969512,5.56049
0.138572,4.61443
0.18924,3.90727
0.236786,3.45869
0.323366,2.91345
0.422627,2.50205
0.578306,2.08163
0.752956,1.76339
0.940871,1.5323
1.21882,1.28033
1.53657,1.08187
1.89611,0.919539
2.32875,0.774834
2.92018,0.635157
3.65387,0.515412
4.30574,0.437194
5.01845,0.373017
5.79096,0.318717
6.75659,0.267276
7.92051,0.221962
9.30852,0.182971
10.8948,0.151605
12.8777,0.124766
14.0674,0.112391
17.1103,0.0911026
19.587,0.079939
22.5591,0.0709162
24.5405,0.066992
29.3996,0.0618328
32.5368,0.0607468
37.9149,0.0624686
43.5288,0.0685635
48.5295,0.0783176
52.9876,0.0917658
57.9175,0.114833
61.1019,0.136551
64.1093,0.16523
66.9045,0.202913
69.2633,0.247479
71.858,0.318235
73.745,0.392856
75.2783,0.475995
76.8705,0.596041
78.2857,0.747221
79.5241,0.935492
80.5856,1.16119
81.4333,1.4086
82.3104,1.76101
83.1065,2.21315
83.7699,2.741
84.3375,3.36169
84.9051,4.22717
85.3621,5.19372
85.7749,6.38264
86.1435,7.8324
86.4973,9.75831
86.7922,11.9721
87.087,15.048
87.3376,18.7177
87.544,22.8685
87.7504,28.5904
87.9347,35.7682
88.0895,44.1886
88.2222,54.1262
88.346,66.9259
88.461,83.6273
88.5495,101.482
88.6379,126.368
88.7116,155.724
88.7706,188.103
88.8296,232.497
88.8856,291.014
88.9387,367.413
88.9903,468.386
89.0419,603.516
89.0935,780.425
89.1539,1048.1
89.2261,1453.1
89.4075,2617.33
89.4782,2926.1
89.5488,3036.67
89.6162,2932.61
89.6905,2609.98
89.9028,1263.33
89.9677,931.583
90.0267,696.235
90.0797,534.936
90.1284,422.734
90.177,337.896
90.2331,266.02
90.292,211.879
90.351,172.909
90.4129,142.969
90.4866,116.974
90.5751,94.6176
90.6694,77.4536
90.7756,63.3615
90.8994,51.4029
91.0424,41.4473
91.1928,33.8509
91.3771,27.1116
91.5835,21.7119
91.7899,17.7807
92.0479,14.2081
92.3427,11.3036
92.6449,9.16232
92.9987,7.34736
93.382,5.9319
93.7948,4.8187
94.2519,3.91274
94.7678,3.16508
95.387,2.51877
96.0062,2.05099
96.7433,1.64518
97.5689,1.3187
98.5124,1.05102
99.5739,0.835626
100.606,0.683427
101.844,0.550009
103.112,0.449325
104.645,0.360618
106.296,0.29076
107.948,0.239266
110.019,0.192087
112.09,0.15688
114.161,0.131327
116.577,0.10762
119.684,0.0858131
122.446,0.0713505
125.207,0.0602079
128.659,0.0496114
132.801,0.0400245
137.634,0.0320751
141.776,0.0270126
146.609,0.0223969
153.512,0.0177289
159.035,0.014954
164.558,0.0128149
171.462,0.0107986
179.747,0.00902366
188.031,0.00787219
196.316,0.00718573
199.907,0.00708306
205.293,0.00726712
207.089,0.00741757
211.578,0.00831556
214.271,0.00938435
216.516,0.0108987
218.536,0.0130112
219.882,0.0151901
221.229,0.0183684
222.407,0.0225025
223.361,0.0273832
224.259,0.0338894
224.932,0.04082
225.581,0.0501654
226.118,0.0609325
226.617,0.0747242
227.077,0.0925004
227.479,0.114266
227.815,0.13931
228.15,0.174122
228.419,0.212851
228.687,0.266952
228.917,0.332788
229.104,0.407422
229.272,0.500146
229.416,0.611104
229.531,0.735417
229.626,0.881698
229.703,1.04771
229.773,1.26206
229.831,1.51902
229.89,1.8833
229.94,2.32081
229.991,2.92256
230.039,3.70429
230.087,4.7577
230.135,6.16474
230.182,8.02162
230.23,10.4366
230.284,13.9641
230.338,18.5055
230.399,24.9684
230.464,33.7126
230.551,48.3355
230.819,101.551
230.922,115.988
231.022,121.214
231.025,121.22
231.122,116.629
231.218,103.99
231.381,72.0787
231.51,46.4875
231.596,32.4592
231.659,24.3113
231.721,17.8246
231.778,13.1831
231.829,10.0412
231.877,7.71999
231.925,5.93785
231.973,4.58888
232.021,3.57942
232.071,2.79846
232.121,2.2301
232.171,1.81629
232.231,1.46499
232.299,1.19338
232.366,1.0038
232.449,0.836928
232.555,0.691249
232.675,0.574264
232.819,0.472844
232.981,0.389099
233.183,0.314254
233.403,0.255346
233.672,0.204118
233.94,0.167248
234.276,0.133961
234.659,0.107046
235.042,0.0877141
235.512,0.0706029
236.011,0.0575722
236.624,0.0461354
237.286,0.037528
237.982,0.0308988
238.817,0.0251533
239.791,0.0204302
240.904,0.0166569
242.203,0.0136012
243.317,0.0117533
244.801,0.00989443
246.657,0.00826925
248.884,0.0069224
251.482,0.00586836
255.564,0.00481952
259.276,0.00420461
263.729,0.00372639
268.183,0.00336319
272.636,0.0031033
281.544,0.00278957
290.658,0.0026154
296.803,0.00257363
306.021,0.00263071
312.166,0.00276548
316.775,0.00294644
321.383,0.00321913
325.224,0.00362769
328.297,0.00414691
330.601,0.00482209
332.137,0.00555203
333.29,0.00640244
334.294,0.00755426
335.038,0.00888537
335.658,0.0105561
336.179,0.0126576
336.625,0.0153496
336.982,0.0185195
337.295,0.0225561
337.562,0.0276058
337.771,0.0332456
337.944,0.0399076
338.083,0.0475262
338.192,0.0561417
338.292,0.0676618
338.366,0.0802581
338.44,0.0983879
338.502,0.1199
338.558,0.146449
338.619,0.186136
338.671,0.232176
338.723,0.292787
338.775,0.371935
338.83,0.479764
338.889,0.633389
338.949,0.832687
339.016,1.12199
339.09,1.53694
339.169,2.09929
339.265,2.94446
339.407,4.47397
339.622,6.83287
339.743,7.74448
339.859,8.07325
339.863,8.07359
339.977,7.78099
340.086,7.0068
340.261,5.15395
340.445,3.11167
340.548,2.17676
340.628,1.60009
340.701,1.17848
340.769,0.872377
340.831,0.657377
340.891,0.498638
340.943,0.391371
340.995,0.308133
341.047,0.244223
341.099,0.195571
341.158,0.154289
341.22,0.123321
341.282,0.101131
341.357,0.0824465
341.444,0.0677366
341.53,0.0577
341.649,0.0482814
341.798,0.0403458
341.977,0.0337851
342.185,0.0284077
342.453,0.0236085
342.721,0.0202627
343.058,0.0173133
343.48,0.0148371
343.901,0.0131816
344.468,0.0117315
345.263,0.0105653
346.059,0.00998703
347.253,0.00974111
349.501,0.010367
351.324,0.0116327
353.218,0.0136694
355.049,0.0166467
356.691,0.0205543
358.094,0.0253616
359.291,0.0311459
360.489,0.0392077
361.47,0.0487301
362.28,0.0596872
363.041,0.0738896
363.747,0.0923523
364.372,0.115332
364.895,0.142114
365.391,0.177456
365.826,0.220818
366.227,0.277051
366.559,0.342544
366.852,0.422132
367.123,0.525347
367.361,0.652415
367.565,0.805886
367.735,0.986876
367.86,1.17473
367.979,1.42768
368.074,1.72147
368.157,2.09031
368.234,2.57392
368.302,3.17795
368.37,4.0179
368.429,5.01919
368.489,6.35195
368.548,8.113
368.607,10.4157
368.667,13.3877
368.735,17.7788
368.806,23.7758
368.887,32.4767
368.974,44.23
369.088,63.6258
369.412,129.176
369.548,148.81
369.671,155.92
369.683,155.982
369.809,149.796
369.939,131.878
370.181,83.1709
370.323,55.9001
370.423,40.0045
370.51,29.0579
370.587,21.434
370.655,16.2267
370.723,12.2055
370.788,9.29823
370.847,7.25807
370.907,5.70466
370.966,4.53252
371.026,3.65316
371.093,2.91511
371.165,2.36039
371.246,1.91483
371.328,1.60168
371.416,1.35775
371.535,1.12497
371.678,0.929554
371.851,0.761361
372.055,0.619816
372.292,0.501352
372.578,0.400278
372.863,0.32758
373.216,0.262521
373.596,0.212294
374.018,0.171997
374.493,0.139005
375.05,0.111274
375.648,0.0899257
376.3,0.0730183
377.013,0.0595235
377.888,0.0475715
378.857,0.0381822
379.988,0.0304972
381.117,0.0248873
382.528,0.019865
383.939,0.0162754
385.552,0.0132926
387.298,0.0109943
389.448,0.00890348
391.598,0.00739902
394.286,0.00605309
397.511,0.00491135
401.273,0.00400648
405.035,0.00338505
409.335,0.00286374
413.635,0.00248776
419.01,0.00215094
425.46,0.00187957
431.91,0.00167097
438.36,0.00152063
446.96,0.00138731
462.73,0.00126447
467.461,0.00125246
475.346,0.00128606
480.077,0.00134182
484.808,0.00147515
488.356,0.00168149
490.525,0.00190672
492.496,0.0022383
493.876,0.00259903
495.058,0.00306712
496.044,0.00364108
496.963,0.00442415
497.726,0.00536671
498.381,0.0065427
498.939,0.0079802
499.417,0.00972032
499.855,0.0119746
500.204,0.0144784
500.533,0.0177498
500.812,0.0216125
501.051,0.0261864
501.265,0.0319092
501.44,0.038559
501.579,0.0462923
501.699,0.0561417
501.799,0.0684183
501.886,0.0842415
501.96,0.103659
502.023,0.125798
502.087,0.156733
502.147,0.194804
502.207,0.244793
502.267,0.309998
502.327,0.394312
502.396,0.522837
502.464,0.684636
502.538,0.917453
502.618,1.23884
502.705,1.68999
502.805,2.34586
502.925,3.33234
503.114,5.23928
503.339,7.53602
503.489,8.60955
503.63,9.01134
503.642,9.01367
503.785,8.65493
503.925,7.70226
504.154,5.40269
504.349,3.41951
504.464,2.45541
504.564,1.77798
504.653,1.29695
504.736,0.954127
504.81,0.71338
504.878,0.545515
504.945,0.415921
505.012,0.31739
505.079,0.243468
505.147,0.188613
505.214,0.148234
505.286,0.116798
505.361,0.0936365
505.436,0.0771335
505.523,0.0635607
505.61,0.0540022
505.725,0.0452004
505.874,0.0373996
506.053,0.0309708
506.293,0.0250168
506.562,0.0203324
506.881,0.0164164
507.229,0.0133847
507.628,0.0109177
508.106,0.00883321
508.664,0.00714491
509.256,0.00589287
509.961,0.0048479
510.784,0.00401086
511.824,0.00329436
512.864,0.00280241
514.25,0.00236042
515.867,0.00203101
517.716,0.00177856
520.027,0.00157616
523.723,0.00139231
528.345,0.00126177
532.042,0.00120449
539.435,0.00114489
554.223,0.00111888
579.618,0.00119325
595.801,0.00130443
607.938,0.00144422
617.106,0.0016016
623.749,0.00178897
628.976,0.00203101
632.415,0.00227338
635.449,0.00260791
637.978,0.00304788
