48-Cd-111(n,inelastic) ENDF/B-VII.1
247632.0,0.0
248222.0,0.00325948
249554.0,0.0105933
250000.0,0.0130379
252865.0,0.0220604
256864.0,0.034484
260589.0,0.0458833
265217.0,0.0598226
271277.0,0.0777114
278189.0,0.0976331
287529.0,0.12378
295784.0,0.146192
300000.0,0.157398
310670.0,0.18057
325252.0,0.210983
338294.0,0.237052
345010.0,0.250086
357916.0,0.309265
367911.0,0.35365
383429.0,0.420226
399602.0,0.486803
420389.0,0.544958
439017.0,0.5876
468517.0,0.651564
500000.0,0.715528
551521.0,0.768534
599888.0,0.813968
625639.0,0.836685
680620.0,0.897834
703176.0,0.920949
706366.0,0.923681
760858.0,1.0079
800000.0,1.06587
874381.0,1.14183
900000.0,1.17561
1000000.0,1.26022
1029280.0,1.27797
1140280.0,1.35122
1250000.0,1.41375
1683840.0,1.58142
1870830.0,1.64498
2000000.0,1.68455
2388200.0,1.7523
2780380.0,1.81037
3000000.0,1.83941
3722420.0,1.89349
4000000.0,1.91152
5000000.0,1.9578
6000000.0,1.95412
7000000.0,1.91358
7483320.0,1.71005
7867580.0,1.5574
8000000.0,1.50652
8330550.0,1.29585
8563720.0,1.15222
8852160.0,0.979852
9000000.0,0.89367
9424570.0,0.751857
9804390.0,0.630302
1.0E7,0.569525
1.04664E7,0.509148
1.09701E7,0.446884
1.13273E7,0.404431
1.17715E7,0.353488
1.2E7,0.328016
1.24715E7,0.30282
1.32137E7,0.265027
1.37991E7,0.236681
1.4E7,0.227233
1.47435E7,0.202647
1.54919E7,0.178876
1.6E7,0.163299
1.69706E7,0.143623
1.77369E7,0.128865
1.8E7,0.123946
1.89737E7,0.112205
2.0E7,0.100465
