49-In-113(n,&gamma;) ENDF/B-VII.1
1.0E-5,597.124
1.31241E-5,521.232
1.70876E-5,456.799
2.2426E-5,398.744
2.91987E-5,349.454
3.83206E-5,305.04
4.98935E-5,267.335
6.54808E-5,233.359
8.52562E-5,204.518
1.11891E-4,178.528
1.45682E-4,156.463
1.91195E-4,136.585
2.48937E-4,119.707
3.26707E-4,104.498
4.25373E-4,91.5885
5.58264E-4,79.9564
7.26861E-4,70.0857
9.53941E-4,61.1902
0.00124203,53.6386
0.00163006,46.8381
0.00212234,41.0645
0.00278538,35.8659
0.00362657,31.4551
0.00475955,27.4904
0.00619694,24.1232
0.00813293,21.1125
0.0105891,18.5668
0.0138972,16.239
0.0180942,14.3005
0.0234661,12.6306
0.0253,12.1801
0.033204,10.6948
0.0432317,9.48222
0.0567377,8.36554
0.0738726,7.44155
0.105586,6.41485
0.150913,5.61708
0.215698,5.014
0.308296,4.64102
0.410668,4.53218
0.538965,4.68474
0.644349,4.99779
0.770339,5.63017
0.900458,6.67848
1.00298,7.93757
1.09908,9.67752
1.18263,11.9056
1.25307,14.6159
1.31471,18.0044
1.3695,22.3193
1.41744,27.7008
1.45854,34.219
1.49278,41.7566
1.52605,51.9323
1.55344,63.5915
1.57986,79.2544
1.60334,98.8901
1.62438,123.738
1.6415,151.901
1.65715,187.277
1.67085,229.597
1.6843,286.558
1.69629,355.892
1.70827,449.639
1.72026,575.3
1.73347,757.729
1.75059,1059.16
1.77339,1485.37
1.78669,1658.4
1.7991,1715.39
1.81252,1646.57
1.82818,1425.31
1.86164,805.657
1.87509,608.251
1.88757,467.922
1.89931,368.802
1.91129,293.519
1.92328,237.645
1.93698,190.618
1.95239,152.353
1.97,121.093
1.98981,96.1384
2.01036,77.5831
2.03482,61.7156
2.06221,49.0911
2.09156,39.4142
2.12581,31.3291
2.16005,25.4863
2.20115,20.3979
2.24811,16.2487
2.29556,13.2266
2.35378,10.5617
2.41639,8.51267
2.48488,6.89528
2.55582,5.67764
2.64143,4.61462
2.73927,3.75465
2.842,3.11577
2.94473,2.65603
3.07601,2.24531
3.22252,1.94139
3.3481,1.77536
3.53117,1.65621
3.59219,1.6471
3.73302,1.69164
3.83863,1.79877
3.93956,1.9869
4.03813,2.29681
4.12028,2.71173
4.19022,3.25264
4.24373,3.8605
4.29255,4.65382
4.33855,5.73695
4.37799,7.08882
4.4099,8.64927
4.43948,10.6986
4.4653,13.2576
4.4883,16.5317
4.50731,20.3876
4.5228,24.7343
4.53829,30.7093
4.55237,38.1768
4.56716,48.933
4.58147,63.1086
4.59626,82.534
4.61316,111.285
4.64039,169.379
4.6677,226.535
4.68723,251.549
4.69955,256.099
4.71352,249.668
4.73004,227.837
4.75868,168.416
4.78356,115.249
4.80092,85.0413
4.81571,65.0349
4.83026,50.1021
4.84505,38.9104
4.85772,31.7876
4.8718,25.8529
4.8887,20.6852
4.90607,16.8768
4.92579,13.7559
4.94879,11.1496
4.97413,9.09443
5.0023,7.44737
5.0361,6.03143
5.07553,4.86592
5.12059,3.93275
5.16518,3.2735
5.2187,2.70317
5.28676,2.19569
5.35717,1.82916
5.43932,1.52815
5.54494,1.26372
5.65759,1.073
5.79842,0.91251
5.98618,0.775957
6.18333,0.685165
6.46498,0.606799
6.80295,0.555843
7.29114,0.525433
7.55401,0.521763
8.22996,0.539738
8.90591,0.591393
9.4692,0.66289
10.0612,0.774398
10.613,0.929394
11.0635,1.11459
11.4638,1.34895
11.7975,1.62528
12.1311,2.0191
12.398,2.46674
12.6399,3.03962
12.8442,3.71799
13.0361,4.61054
13.2029,5.70399
13.3489,7.04307
13.4823,8.75608
13.5907,10.6804
13.6929,13.1806
13.7868,16.3865
13.8702,20.3859
13.9411,25.1222
14.0078,31.3444
14.0662,39.0039
14.1162,48.1917
14.16,59.4064
14.1988,73.332
14.2313,89.7285
14.2614,111.22
14.2864,136.843
14.3072,166.778
14.3264,204.787
14.3431,249.532
14.3598,309.252
14.376,386.557
14.3936,496.961
14.4111,642.35
14.4313,862.125
14.4542,1185.96
14.4828,1694.62
14.5424,2881.11
14.5703,3274.99
14.5964,3426.13
14.5994,3427.81
14.6254,3305.4
14.6551,2904.42
14.7301,1436.78
14.7543,1045.88
14.7743,788.308
14.7918,610.909
14.8106,464.781
14.8275,365.648
14.8444,290.875
14.8632,229.606
14.8794,190.303
14.9003,153.227
14.9211,126.512
14.9436,105.38
14.9737,85.1795
15.0087,68.6815
15.0437,56.8221
15.0888,45.7826
15.1422,36.5269
15.2005,29.351
15.2673,23.5064
15.3403,18.9397
15.4237,15.2049
15.5092,12.4362
15.6093,10.0788
15.7281,8.07987
15.8595,6.50899
15.9971,5.32576
16.1639,4.30074
16.3558,3.47547
16.5601,2.85969
16.777,2.39716
17.0272,2.02352
17.3191,1.72582
17.669,1.4997
17.9355,1.39444
18.3084,1.31967
18.5037,1.30986
18.8552,1.34423
19.2067,1.45378
19.4703,1.60457
19.7339,1.84427
19.9634,2.1684
20.1513,2.56614
20.3124,3.06212
20.4564,3.70633
20.5736,4.4596
20.6761,5.39104
20.7738,6.66113
20.8568,8.22083
20.9251,10.047
20.9837,12.2427
21.0374,15.0875
21.0784,18.1309
21.1184,22.3124
21.1477,26.6052
21.177,32.5961
21.2034,40.2689
21.2258,49.3952
21.2478,61.6622
21.2698,78.5098
21.2913,100.909
21.3118,129.274
21.3323,165.905
21.3552,218.116
21.3821,295.115
21.4206,431.727
21.4826,663.266
21.5152,748.208
21.5457,780.749
21.5493,781.134
21.5797,755.151
21.6144,669.029
21.7111,314.887
21.7404,228.006
21.7658,168.977
21.7892,127.273
21.8097,99.5053
21.8317,77.1298
21.8537,60.7114
21.8771,48.0656
21.9015,38.6859
21.9259,31.9595
21.9542,26.3594
21.9884,21.6041
22.0294,17.6466
22.0704,14.8393
22.1217,12.3172
22.1832,10.1901
22.2579,8.41355
22.3458,7.01078
22.4483,5.94179
22.5557,5.22537
22.6631,4.77508
22.8242,4.43059
22.956,4.35985
23.1217,4.48745
23.3289,4.98226
23.4946,5.69098
23.6577,6.76582
23.7931,8.08768
23.9092,9.69279
24.0253,11.9724
24.122,14.6784
24.205,17.9154
24.2824,22.1342
24.3515,27.4505
24.4095,33.731
24.4593,41.2403
24.5057,51.1518
24.5455,63.3837
24.5765,76.8497
24.6041,93.5157
24.6318,116.868
24.6539,142.546
24.676,176.886
24.7003,228.074
24.7246,297.603
24.7479,385.344
24.7744,515.769
24.8054,712.035
24.8485,1055.86
24.9148,1621.61
24.9467,1821.15
24.9794,1922.38
24.9891,1928.42
25.0218,1865.72
25.0541,1692.14
25.1072,1261.12
25.1617,801.774
25.1951,572.849
25.2225,426.243
25.2465,326.519
25.2708,249.737
25.2952,192.729
25.3195,151.021
25.3444,120.087
25.3692,97.6436
25.3969,79.5943
25.4301,64.2579
25.4632,53.3293
25.503,43.837
25.55,35.7945
25.6064,28.9215
25.6645,23.8257
25.7308,19.5671
25.8082,15.9661
25.8982,12.977
25.9931,10.7334
26.101,8.94698
26.1904,7.92149
26.2977,7.18339
26.3503,7.07646
26.4011,7.26334
26.4331,7.63919
26.4651,8.35191
26.4971,9.58241
26.5251,11.2712
26.5549,13.9169
26.586,17.795
26.6213,23.716
26.6777,35.7879
26.7285,46.5619
26.7673,52.0396
26.7994,53.5106
26.8301,51.9708
26.8677,46.5886
26.935,31.8054
26.9809,21.9609
27.0128,16.4338
27.0408,12.6723
27.0672,9.9897
27.0935,8.01017
27.1198,6.58436
27.1462,5.57008
27.1801,4.68226
27.2177,4.04194
27.2647,3.52788
27.3339,3.05598
27.4223,2.67486
27.5328,2.35953
27.7172,2.02073
27.9759,1.7331
28.2675,1.54226
28.6438,1.41866
28.9097,1.39352
29.2848,1.43892
29.5661,1.54314
29.8942,1.76781
30.1615,2.07554
30.3724,2.45352
30.4793,2.73996
30.56,3.07337
30.635,3.57891
30.7194,4.44394
30.8169,5.51254
30.884,5.92104
30.9388,6.0
31.0044,5.97423
31.0963,6.17943
31.175,6.7856
31.2688,8.00952
31.3621,9.79533
31.4485,12.1513
31.5225,15.0094
31.5867,18.4941
31.6417,22.6896
31.6903,27.9322
31.7323,34.4613
31.7674,42.287
31.7994,52.5609
31.8265,64.8295
31.8535,81.9999
31.8775,103.06
31.9026,132.889
31.9276,173.223
31.9526,226.737
31.9787,299.066
32.0067,398.225
32.044,564.551
32.1459,1109.1
32.1859,1264.25
32.2256,1327.26
32.2293,1327.75
32.2685,1276.32
32.3121,1113.41
32.4203,540.125
32.4543,391.914
32.4828,292.87
32.5099,219.782
32.5347,168.503
32.5579,131.793
32.583,102.24
32.6055,82.4649
32.6305,66.1597
32.6546,54.6222
32.6846,44.1568
32.7147,36.6639
32.7537,29.7413
32.7988,24.1725
32.8528,19.4961
32.9109,15.9275
32.981,12.8412
33.0561,10.4654
33.1437,8.46409
33.2464,6.79058
33.3515,5.55624
33.4717,4.52875
33.606,3.6945
33.7628,2.99039
33.9471,2.40048
34.1581,1.92714
34.3737,1.58561
34.5781,1.36091
34.685,1.30564
34.745,1.32429
34.8125,1.41878
34.9587,1.80778
35.0135,1.87038
35.0679,1.81139
35.135,1.59306
35.24,1.17358
35.3056,0.98815
35.3638,0.885121
35.4575,0.793332
35.6375,0.703347
35.9676,0.597059
36.4082,0.498153
36.9239,0.41779
37.5802,0.34944
38.1052,0.312787
38.8927,0.278779
39.6803,0.264943
39.8546,0.264518
40.5953,0.27521
41.113,0.297914
41.5191,0.329327
41.9252,0.379261
42.2636,0.443155
42.5537,0.524562
42.8003,0.624722
43.0372,0.764481
43.2402,0.93994
43.4143,1.15794
43.5666,1.43374
43.6899,1.75309
43.7914,2.1207
43.8833,2.58395
43.9679,3.19039
44.0283,3.79815
44.0815,4.53568
44.1298,5.48579
44.1733,6.73613
44.2072,8.14196
44.2398,10.068
44.2688,12.4779
44.2978,15.8257
44.3261,20.3234
44.3522,25.8894
44.3812,34.0766
44.4102,44.7963
44.4431,60.4393
44.4779,81.2363
44.534,122.504
44.6143,184.682
44.6636,211.559
44.71,220.966
44.7108,220.972
44.7564,212.74
44.8057,187.658
44.9133,113.759
44.9454,96.9258
44.973,86.8644
45.0046,81.0455
45.0152,80.5355
45.0392,82.0661
45.0633,87.2453
45.0994,101.244
45.1461,128.01
45.235,185.083
45.2829,204.779
45.3171,209.287
45.3625,201.398
45.4127,176.449
45.5441,82.4251
45.5827,59.9194
45.6175,43.894
45.6465,33.5168
45.6754,25.5331
45.7015,20.0681
45.7276,15.9196
45.7566,12.5118
45.7846,10.118
45.8174,8.11271
45.8502,6.69997
45.8913,5.46881
45.9381,4.50613
45.9961,3.68736
46.0685,2.98497
46.141,2.48731
46.2279,2.05281
46.3365,1.66474
46.4549,1.36407
46.6046,1.09532
46.7736,0.883562
46.9716,0.710358
47.1744,0.584883
47.4062,0.481828
47.667,0.398635
47.9712,0.329447
48.3449,0.269809
48.7707,0.222733
49.2624,0.185507
49.8249,0.156797
50.3171,0.14112
50.4765,0.139483
50.5909,0.143192
50.6603,0.152169
50.7137,0.166939
50.7606,0.189055
50.8075,0.222683
50.8628,0.279103
51.0081,0.468477
51.067,0.514606
51.098,0.52136
51.145,0.506067
51.2069,0.445842
51.3405,0.264781
51.3963,0.207035
51.4441,0.172042
51.4975,0.14651
51.5538,0.130663
51.61,0.12168
51.7422,0.112105
51.9625,0.105465
52.3751,0.0986502
53.1251,0.0914625
54.125,0.0877212
54.65,0.0895244
54.8375,0.093079
54.9453,0.100089
55.01,0.109819
55.0634,0.123563
55.1258,0.148356
55.2031,0.192068
55.3137,0.258401
55.376,0.278557
55.4005,0.280526
55.46,0.270426
55.5313,0.236382
55.655,0.163992
55.715,0.13866
55.7713,0.123186
55.85,0.112071
55.9344,0.108236
55.9625,0.107954
56.1688,0.11181
56.45,0.125722
56.6281,0.142282
56.735,0.161554
56.81,0.186522
56.8756,0.222397
56.9375,0.272046
57.0266,0.367622
57.1306,0.479463
57.2015,0.523485
57.2525,0.531987
57.4114,0.502442
57.4644,0.512838
57.5122,0.548235
57.56,0.620038
57.6034,0.732372
57.6382,0.871185
57.6685,1.04508
57.6989,1.288
57.7297,1.63077
57.757,2.04464
57.7844,2.59092
57.8139,3.36751
57.845,4.43512
57.8761,5.8024
57.9138,7.90075
57.959,11.0492
58.0927,22.0557
58.1473,25.2069
58.1971,26.289
58.1995,26.2912
58.2508,25.2401
58.3017,22.3865
58.4034,14.0326
58.4608,9.55342
58.5032,6.87534
58.5399,5.05203
58.571,3.85315
58.6021,2.93159
58.6292,2.31788
58.6587,1.81544
58.6883,1.44881
58.7178,1.18604
58.7479,0.998179
58.7798,0.864166
58.8197,0.76312
58.8675,0.707094
58.92,0.695204
59.0512,0.723911
59.1195,0.697587
59.1863,0.624571
59.356,0.354544
59.415,0.282062
59.4713,0.232398
59.5275,0.198798
59.6007,0.171727
59.6719,0.155854
59.8145,0.137413
60.0376,0.121071
60.2251,0.112384
60.5627,0.102739
61.0877,0.0957498
61.6503,0.0938238
62.5504,0.0974091
63.5252,0.108585
64.4062,0.126529
65.114,0.149231
65.7375,0.179334
66.1894,0.211267
66.42,0.236432
66.5325,0.258389
66.6544,0.297572
66.8475,0.371233
66.9563,0.386114
67.2188,0.364344
67.3763,0.378269
67.6031,0.430915
67.8985,0.531818
68.1422,0.650031
68.354,0.792371
68.5565,0.982422
68.7301,1.21089
68.8793,1.4826
69.007,1.80125
69.127,2.21226
69.2365,2.73572
69.3304,3.36371
69.4086,4.09087
69.4738,4.92787
69.526,5.84482
69.5807,7.20466
69.6224,8.6896
69.659,10.4961
69.6955,13.0156
69.7278,16.1072
69.7607,20.41
69.7935,26.3009
69.8258,34.1438
69.8571,44.1897
69.8916,58.6654
69.9281,78.6409
69.9698,107.982
70.0209,153.465
70.1774,320.239
70.2337,361.308
70.2896,376.01
70.3392,364.256
70.3943,326.768
70.483,234.469
70.5628,149.26
70.6097,107.995
70.6499,79.7079
70.6864,59.5523
70.7197,45.2945
70.751,35.0143
70.7823,27.1888
70.812,21.5711
70.8449,16.9521
70.8778,13.5828
70.9106,11.1189
70.9482,9.0808
70.9888,7.50552
71.041,6.09489
71.0932,5.10301
71.1644,4.14375
71.2442,3.39001
71.3374,2.77245
71.4237,2.37458
71.5099,2.11569
71.5812,2.00212
71.6525,1.97162
71.8175,2.03814
71.9098,1.97109
72.005,1.73974
72.1832,1.13594
72.2544,0.949793
72.3332,0.804372
72.4195,0.700777
72.5329,0.614535
72.7439,0.512937
73.0125,0.425766
73.328,0.35664
73.5624,0.325278
73.6304,0.322231
73.7256,0.329691
73.8025,0.353671
73.8728,0.396598
73.9525,0.471698
74.095,0.630142
74.176,0.679835
74.2053,0.683551
74.2769,0.660456
74.425,0.555682
74.455,0.548518
74.5025,0.564681
74.5374,0.605542
74.5723,0.677502
74.6073,0.785928
74.6501,0.974543
74.7007,1.28076
74.7678,1.80647
74.878,2.74647
74.9437,3.13238
74.9995,3.24365
75.0563,3.12143
75.1126,2.79381
75.228,1.80271
75.2951,1.2547
75.3424,0.942376
75.3847,0.724356
75.4269,0.559796
75.4667,0.446321
75.5078,0.363303
75.5488,0.305963
75.5981,0.260672
75.6473,0.231946
75.713,0.208428
75.8068,0.189222
75.9945,0.169112
76.2478,0.154498
76.7263,0.13957
77.4768,0.128191
78.4337,0.122985
78.7527,0.122743
79.8785,0.126537
80.7155,0.133805
82.2936,0.15896
83.4533,0.190265
84.4345,0.230784
85.2225,0.278062
85.9355,0.338807
86.5593,0.414168
87.1175,0.509501
87.5677,0.616925
87.9899,0.757167
88.3088,0.905168
88.5208,1.04762
88.6278,1.16258
88.7169,1.31619
88.791,1.51265
88.866,1.79581
88.9899,2.42896
89.1137,3.04944
89.2008,3.27938
89.2379,3.30261
89.3388,3.16709
89.4927,2.76054
89.5809,2.63721
89.6165,2.62684
89.73,2.73465
89.8567,3.04897
90.0255,3.70212
90.1677,4.48049
90.3099,5.56744
90.4201,6.73875
90.5244,8.27004
90.6114,10.0502
90.692,12.3939
90.7552,15.0368
90.8122,18.4625
90.8596,22.5646
90.9023,27.7745
90.9402,34.1818
90.9782,42.9473
91.0133,53.8954
91.0512,69.7816
91.0891,91.049
91.1296,121.111
91.1676,157.494
91.2156,216.419
91.2713,303.088
91.3598,472.755
91.4559,658.719
91.5166,743.52
91.5779,781.868
91.5899,782.906
91.6507,754.988
91.7165,670.047
91.8316,448.779
91.9138,294.529
91.9669,213.727
92.0112,160.179
92.0491,123.946
92.0864,96.1092
92.1218,75.8104
92.1572,60.4391
92.1927,49.0341
92.2281,40.7466
92.267,34.4793
92.3058,30.5068
92.3523,28.1998
92.3717,27.9537
92.4144,28.8786
92.4577,32.0357
92.4954,36.8926
92.5379,45.1238
92.5803,56.7503
92.6228,72.203
92.6728,95.3209
92.7472,138.236
92.8695,212.947
92.9327,239.677
92.9969,249.87
93.055,242.099
93.1264,212.897
93.2446,139.474
93.3241,91.8246
93.3751,67.0447
93.4215,49.1811
93.4607,37.4188
93.4995,28.4731
93.5351,22.2071
93.5708,17.4756
93.6065,13.9511
93.6422,11.3477
93.6842,9.1435
93.7288,7.51625
93.7798,6.2393
93.8435,5.17092
93.9097,4.4147
93.9989,3.70575
94.1238,3.02966
94.2691,2.49326
94.4474,2.03896
94.6564,1.6716
94.9061,1.36864
95.1813,1.1375
95.4871,0.958256
95.8541,0.811225
96.2179,0.713531
96.5754,0.651257
97.0521,0.611702
97.2055,0.609945
97.4932,0.625044
97.7808,0.676163
97.9726,0.746846
98.1165,0.83741
98.2363,0.961727
98.3202,1.10328
98.3897,1.29136
98.4401,1.50225
98.482,1.75804
98.524,2.12503
98.5659,2.65491
98.6037,3.32802
98.6383,4.16492
98.6748,5.33609
98.7112,6.8764
98.7522,9.13973
98.7934,12.0673
98.8452,16.7421
98.9104,24.1182
99.0523,42.3399
99.1195,48.8082
99.1847,51.7244
99.1997,51.832
99.2633,49.8963
99.3227,44.9851
99.4263,32.2549
99.5222,20.2225
99.5797,14.3678
99.6243,10.7646
99.6646,8.19891
99.7049,6.2205
99.7401,4.90059
99.7753,3.89608
99.8131,3.09837
99.8508,2.52151
99.8928,2.07001
99.9347,1.75884
99.9767,1.54297
100.027,1.36614
100.092,1.21921
100.188,1.09089
100.331,0.993135
100.485,0.950013
100.604,0.9422
100.868,0.978664
101.113,1.06614
101.414,1.24768
101.676,1.4947
101.895,1.79409
102.104,2.2017
102.283,2.69936
102.435,3.29232
102.582,4.09692
102.707,5.08265
102.811,6.2484
102.901,7.66767
102.969,9.20353
103.029,11.077
103.077,13.1612
103.124,16.0667
103.163,19.3303
103.203,23.9635
103.244,30.3759
103.283,39.0903
103.322,50.6806
103.361,66.1911
103.4,86.5735
103.439,113.446
103.487,155.006
103.542,216.099
103.617,320.599
103.754,528.635
103.824,603.977
103.89,634.731
103.9,635.182
103.967,610.423
104.036,539.779
104.167,343.099
104.244,232.731
104.3,167.816
104.347,123.54
104.392,91.7316
104.431,69.9185
104.47,53.2996
104.508,41.3677
104.546,32.4536
104.583,25.8494
104.621,20.9701
104.664,16.9178
104.711,13.7316
104.759,11.4637
104.819,9.4462
104.884,7.87254
104.974,6.36161
105.078,5.13459
105.201,4.12513
105.326,3.38455
105.471,2.75899
105.632,2.25734
105.807,1.85929
106.016,1.51434
106.224,1.26589
106.412,1.10763
106.553,1.04601
106.599,1.046
106.673,1.0802
106.746,1.17203
106.825,1.35265
106.926,1.7071
107.08,2.30034
107.161,2.46211
107.186,2.47423
107.256,2.40094
107.335,2.1525
107.544,1.19321
107.617,0.936738
107.682,0.766334
107.755,0.639121
107.821,0.56387
107.887,0.514622
108.019,0.457181
108.27,0.398436
108.664,0.337902
109.227,0.277988
109.837,0.232875
110.616,0.193179
111.441,0.164911
112.302,0.145287
113.199,0.132347
114.21,0.125006
114.773,0.123902
115.842,0.128155
116.686,0.138932
117.362,0.154682
117.924,0.176261
118.234,0.195627
118.381,0.211933
118.491,0.235512
118.558,0.260481
118.624,0.299717
118.69,0.359812
118.755,0.446574
118.83,0.583561
118.935,0.833337
119.065,1.14786
119.151,1.27776
119.204,1.30216
119.277,1.26073
119.365,1.11368
119.558,0.678924
119.633,0.552317
119.709,0.465894
119.772,0.421605
119.857,0.392361
119.941,0.385219
120.119,0.404452
120.401,0.471369
120.7,0.577849
120.962,0.712458
121.187,0.876643
121.375,1.06918
121.522,1.28139
121.649,1.53747
121.766,1.8717
121.885,2.34895
122.003,2.98898
122.106,3.71694
122.201,4.62514
122.271,5.58233
122.328,6.70312
122.378,8.16837
122.425,10.1099
122.467,12.6101
122.502,15.4347
122.542,19.7367
122.581,25.4577
122.621,33.034
122.664,43.8008
122.707,57.8582
122.757,78.8949
122.816,110.412
122.896,163.907
123.048,273.242
123.124,311.143
123.198,324.833
123.199,324.836
123.265,314.511
123.343,278.092
123.468,189.66
123.561,124.481
123.624,87.8678
123.671,66.2707
123.718,49.1651
123.761,37.1116
123.799,28.8182
123.837,22.4176
123.876,17.4577
123.915,13.7288
123.954,10.9679
123.993,8.9276
124.038,7.23144
124.084,5.97705
124.133,5.01522
124.189,4.21879
124.258,3.50624
124.339,2.91586
124.44,2.39031
124.563,1.93352
124.697,1.57738
124.853,1.27857
125.038,1.02776
125.233,0.837566
125.445,0.687716
125.713,0.552384
126.015,0.445739
126.328,0.367363
126.663,0.306635
127.065,0.254422
127.534,0.212186
128.031,0.181817
128.635,0.157997
129.118,0.146708
129.722,0.140918
129.842,0.140854
130.445,0.14688
130.947,0.162731
131.349,0.18679
131.675,0.218867
131.946,0.25984
132.172,0.310265
132.383,0.379247
132.564,0.466182
132.714,0.571357
132.835,0.691121
132.935,0.831502
133.021,1.00087
133.096,1.21864
133.156,1.47439
133.209,1.79849
133.254,2.19313
133.298,2.73084
133.336,3.3622
133.373,4.20738
133.411,5.33342
133.451,6.94612
133.49,8.96756
133.532,11.9033
133.575,15.6795
133.624,21.2937
133.678,29.15
133.745,41.0748
133.945,83.3109
134.026,94.829
134.1,98.5647
134.166,95.4928
134.245,84.9197
134.367,59.6561
134.472,37.8533
134.538,26.5674
134.592,19.2671
134.639,14.3515
134.684,10.6775
134.725,8.14888
134.763,6.33011
134.803,4.88201
134.843,3.80821
134.883,3.01857
134.922,2.45515
134.966,1.99154
135.016,1.61718
135.067,1.35305
135.134,1.10526
135.21,0.916819
135.3,0.758544
135.413,0.61944
135.549,0.50228
135.707,0.406359
135.887,0.329346
136.098,0.266381
136.309,0.221497
136.59,0.179098
136.892,0.147468
137.253,0.120916
137.675,0.0994907
138.121,0.0836899
138.692,0.069695
139.381,0.0583857
140.225,0.0494928
140.975,0.0447646
141.28,0.0439093
141.509,0.0448346
141.603,0.0467562
141.697,0.0511267
141.767,0.0572636
141.837,0.0671493
141.902,0.0805946
141.978,0.102418
142.072,0.13867
142.239,0.209401
142.325,0.234255
142.4,0.241606
142.483,0.232216
142.569,0.205658
142.783,0.115011
142.861,0.0886703
142.929,0.0716203
142.997,0.0596096
143.061,0.0520282
143.131,0.0467958
143.225,0.0430038
143.366,0.040705
143.6,0.0398093
144.05,0.0405922
144.575,0.0440075
144.95,0.0487148
145.286,0.0556745
145.58,0.0654654
145.822,0.0780921
146.022,0.0940247
146.176,0.112247
146.304,0.134086
146.411,0.160397
146.497,0.191088
146.568,0.228681
146.625,0.272493
146.675,0.327193
146.725,0.405556
146.767,0.49743
146.808,0.623483
146.85,0.796058
146.892,1.03056
146.93,1.31475
146.972,1.73457
147.015,2.28361
147.063,3.07386
147.114,4.17025
147.174,5.79044
147.254,8.48244
147.436,15.3544
147.52,17.5189
147.599,18.2535
147.672,17.6336
147.752,15.6861
147.879,11.0438
147.986,7.04781
148.055,4.96037
148.11,3.6123
148.157,2.7131
148.204,2.01403
148.247,1.53261
148.289,1.16282
148.327,0.914036
148.367,0.719727
148.408,0.567002
148.45,0.455456
148.497,0.36427
148.539,0.306918
148.592,0.253973
148.651,0.213728
148.717,0.181369
148.8,0.152925
148.912,0.126456
149.055,0.103371
149.197,0.0871919
149.397,0.0713703
149.63,0.0589094
149.901,0.0491281
150.243,0.0409212
150.643,0.0346343
151.137,0.0295496
151.755,0.0254749
152.62,0.0219388
153.656,0.0193885
155.125,0.0171621
157.295,0.0153314
159.321,0.0142497
162.794,0.0132558
167.424,0.012975
172.626,0.0137345
176.664,0.0152384
180.121,0.0175528
182.426,0.0198634
184.155,0.0221969
186.46,0.0264638
188.188,0.0311982
189.629,0.0367851
191.023,0.0442964
192.084,0.0526883
