49-In-115(n,inelastic) ENDF/B-VII.1
339151.0,0.0
340181.0,4.98879E-5
342234.0,1.48884E-4
344268.0,2.46334E-4
348306.0,4.38188E-4
354196.0,7.14072E-4
359936.0,9.78521E-4
367407.0,0.00131647
374551.0,0.00163329
384721.0,0.00207403
397534.0,0.00261299
409094.0,0.00308457
424114.0,0.00367774
437108.0,0.00417419
452047.0,0.00472706
468621.0,0.00531942
489314.0,0.00603025
500000.0,0.00638566
523806.0,0.00739755
542401.0,0.00815646
571538.0,0.00929483
602241.0,0.0104332
618741.0,0.0136665
632898.0,0.0163726
649045.0,0.0193862
666803.0,0.022615
688754.0,0.0264897
700000.0,0.028427
723762.0,0.0319385
760927.0,0.0372059
835672.0,0.0473134
885678.0,0.059583
900000.0,0.0630384
941795.0,0.0724812
949462.0,0.0869713
971250.0,0.117577
1000000.0,0.156927
1037360.0,0.192857
1070500.0,0.223654
1087460.0,0.239053
1128440.0,0.272355
1142440.0,0.283456
1168430.0,0.326608
1208530.0,0.391335
1250000.0,0.456063
1301830.0,0.507767
1364630.0,0.587959
1430450.0,0.66815
1461420.0,0.711554
1475340.0,0.736742
1498840.0,0.775707
1500000.0,0.779443
1513170.0,0.804069
1569190.0,0.882637
1657130.0,1.00049
1750000.0,1.11834
1870830.0,1.232
2000000.0,1.34566
2199390.0,1.45695
2376880.0,1.54784
2582970.0,1.64522
2854000.0,1.76208
3000000.0,1.82051
3464100.0,1.92086
4000000.0,2.0212
5000000.0,2.03971
6000000.0,1.96146
7000000.0,1.8747
8000000.0,1.81674
9000000.0,1.79206
9486830.0,1.6124
1.0E7,1.43275
1.04366E7,1.21143
1.08072E7,1.03068
1.1219E7,0.837019
1.16029E7,0.662727
1.18995E7,0.532007
1.2E7,0.488434
1.24715E7,0.420821
1.29771E7,0.351095
1.33335E7,0.303555
1.37742E7,0.246506
1.4E7,0.217982
1.44914E7,0.192641
1.5E7,0.167301
1.57439E7,0.150194
1.6E7,0.144492
1.69706E7,0.13123
1.8E7,0.117967
1.94801E7,0.106277
2.0E7,0.10238
