66-Dy-164(n,&gamma;) ENDF/B-VII.1
1.0E-5,137189.0
1.31241E-5,119752.0
1.70876E-5,104948.0
2.2426E-5,91608.9
2.91987E-5,80283.8
3.83206E-5,70078.8
4.98935E-5,61415.2
6.54808E-5,53608.4
8.52562E-5,46981.2
1.11891E-4,41008.7
1.45682E-4,35937.9
1.91195E-4,31369.5
2.48937E-4,27490.2
3.26707E-4,23993.6
4.25373E-4,21025.5
5.58264E-4,18350.3
7.26861E-4,16079.8
9.53941E-4,14032.6
0.00124203,12293.7
0.00163006,10727.0
0.00212234,9395.77
0.00278538,8195.35
0.00362657,7175.26
0.00475955,6258.97
0.00619694,5477.91
0.00813293,4775.29
0.0105891,4182.21
0.0138972,3634.9
0.0180942,3171.2
0.0234661,2774.05
0.0253,2666.34
0.0346825,2252.1
0.0474582,1896.61
0.0617907,1640.32
0.0810948,1402.89
0.105586,1197.9
0.138572,1015.12
0.18042,852.342
0.226242,727.785
0.29569,596.854
0.368577,500.336
0.462184,412.162
0.552555,349.031
0.691383,279.525
0.863375,220.081
1.01019,183.337
1.1924,149.221
1.41167,119.445
1.63307,97.4479
1.93453,76.0884
2.23031,61.0884
2.53684,49.6595
2.84338,40.9758
3.21122,33.187
3.64036,26.5156
4.19213,20.4843
4.74389,16.2264
5.23434,13.3983
5.7248,11.2211
6.33787,9.15546
6.95094,7.57484
7.68662,6.14987
8.54492,4.92148
9.2806,4.15562
10.1389,3.43075
11.2424,2.75231
12.2233,2.29623
13.2042,1.94182
14.4304,1.60265
15.9017,1.29428
17.6183,1.03853
19.7787,0.809686
21.6938,0.665744
24.0877,0.537115
25.9911,0.459866
28.3266,0.388073
31.2226,0.322793
34.9127,0.263862
37.6686,0.233128
41.4521,0.201451
44.3948,0.182848
49.8132,0.160845
55.4184,0.146876
62.892,0.139337
65.2275,0.138903
75.9708,0.147456
83.4444,0.163743
90.4509,0.188961
96.0561,0.219268
102.128,0.266781
106.799,0.320392
111.47,0.396229
115.207,0.482845
118.477,0.588235
121.513,0.723901
124.286,0.898109
126.739,1.11495
128.987,1.39611
130.855,1.7236
132.49,2.11912
133.891,2.58173
135.292,3.21938
136.46,3.95557
137.628,4.98278
138.562,6.12919
139.38,7.49711
140.197,9.38532
140.921,11.7117
141.575,14.6784
142.159,18.4073
142.649,22.7676
143.093,28.2091
143.502,35.1554
143.875,44.0006
144.202,54.8163
144.48,67.4608
144.737,83.5006
144.961,102.716
145.172,127.322
145.356,156.77
145.525,193.69
145.688,242.715
145.831,301.64
145.972,380.671
146.106,484.569
146.237,622.228
146.383,825.952
146.75,1474.06
146.877,1618.53
146.969,1652.47
147.073,1608.73
147.213,1432.49
147.554,824.964
147.697,624.617
147.828,485.934
147.963,381.235
148.103,301.628
148.24,244.407
148.403,194.54
148.581,155.431
148.768,125.652
148.984,100.661
149.218,81.1303
149.481,65.2186
149.761,52.8708
150.076,42.7394
150.444,34.2037
150.824,27.7972
151.291,22.0992
151.781,17.8078
152.342,14.2683
152.972,11.412
153.603,9.34191
154.339,7.5577
155.144,6.12598
156.078,4.91995
157.013,4.03608
158.18,3.22815
159.348,2.63918
160.749,2.12156
162.151,1.74368
163.786,1.4146
165.654,1.14029
167.522,0.93803
169.858,0.75241
172.193,0.616068
174.996,0.496015
178.266,0.395224
182.003,0.313549
185.739,0.254297
189.943,0.205445
194.381,0.167963
199.285,0.136938
204.89,0.111109
210.496,0.0922935
216.101,0.0779722
220.811,0.0699203
222.529,0.0689322
223.904,0.0708773
224.763,0.0760191
225.279,0.0833347
225.622,0.0924715
225.909,0.105689
226.127,0.122779
226.288,0.143265
226.385,0.16173
226.482,0.188978
226.553,0.219259
226.616,0.257903
226.679,0.314903
226.732,0.386192
226.78,0.473761
226.825,0.588989
226.871,0.743292
226.917,0.947116
226.969,1.24946
227.02,1.64371
227.08,2.23526
227.147,3.06206
227.252,4.67476
227.387,6.83701
227.475,7.87715
227.556,8.28373
227.57,8.29239
227.647,8.00771
227.725,7.21887
227.856,5.20157
227.974,3.32895
228.045,2.39509
228.108,1.74364
228.16,1.32793
228.212,1.00678
228.259,0.781542
228.307,0.612088
228.354,0.48656
228.402,0.394512
228.451,0.325998
228.504,0.271867
228.569,0.226939
228.644,0.19184
228.73,0.165036
228.844,0.141307
228.988,0.121785
229.167,0.105704
229.414,0.0915286
229.754,0.0797287
230.162,0.0713073
230.749,0.0642531
231.694,0.0581209
233.155,0.053132
235.589,0.0484569
243.341,0.0400085
250.177,0.034947
258.38,0.0299135
272.051,0.0241913
284.669,0.0204368
297.916,0.0176159
315.578,0.0152137
333.24,0.013933
346.486,0.0136444
359.733,0.0140196
368.564,0.0147445
379.603,0.016512
388.434,0.0187899
396.161,0.0220119
401.68,0.0254383
406.096,0.0291878
409.407,0.0328183
413.271,0.0383266
417.686,0.0471438
420.998,0.0566274
424.14,0.0690535
427.1,0.0857383
429.551,0.105169
431.633,0.128039
433.714,0.159852
435.24,0.192051
436.905,0.240374
438.385,0.300886
439.68,0.375977
440.79,0.466033
441.761,0.575084
442.594,0.702961
443.403,0.873966
444.155,1.09625
444.802,1.36385
445.363,1.68589
445.872,2.08968
446.34,2.60761
446.739,3.22102
447.12,4.04031
447.424,4.94348
447.728,6.19654
447.996,7.76383
448.23,9.70617
448.431,12.0417
448.597,14.756
448.754,18.3701
448.87,22.0724
448.986,27.1847
449.094,33.9769
449.191,42.5093
449.272,52.1538
449.365,67.0354
449.448,85.0126
449.531,108.412
449.632,145.24
449.744,198.361
449.89,284.581
450.142,445.339
450.269,503.485
450.384,526.795
450.41,527.61
450.515,513.672
450.655,457.397
450.886,312.687
451.057,207.977
451.17,152.872
451.268,115.055
451.357,88.6866
451.446,68.7089
451.539,53.3681
451.631,42.2106
451.724,34.0925
451.811,28.3841
451.927,22.9087
452.043,18.9727
452.195,15.2556
452.362,12.39
452.556,10.0038
452.753,8.25088
452.988,6.7094
453.277,5.35552
453.601,4.27978
453.925,3.50093
454.33,2.79586
454.792,2.22451
455.266,1.80432
455.821,1.4488
456.422,1.17174
457.07,0.954095
457.787,0.777052
458.596,0.630949
459.568,0.504651
460.677,0.402264
461.88,0.323426
463.175,0.262623
464.655,0.212466
466.32,0.172117
468.124,0.14099
470.205,0.115918
472.244,0.0991901
474.1,0.0904369
474.905,0.0894338
475.767,0.0920045
476.342,0.0979129
476.774,0.106953
477.133,0.12053
477.392,0.136953
477.579,0.155547
477.742,0.181142
477.859,0.210125
477.953,0.245514
478.041,0.296052
478.116,0.360672
478.179,0.436954
478.242,0.541872
478.305,0.685382
478.369,0.886053
478.434,1.15578
478.499,1.51139
478.571,2.02779
478.642,2.69144
478.723,3.62528
478.829,5.16328
479.154,10.7115
479.281,12.1494
479.39,12.5748
479.505,12.0984
479.632,10.6172
479.974,4.79566
480.075,3.39289
480.157,2.4917
480.232,1.84549
480.297,1.40898
480.36,1.08436
480.423,0.837118
480.486,0.652055
480.54,0.532439
480.603,0.427885
480.666,0.35171
480.741,0.286985
480.829,0.236121
480.917,0.201965
481.022,0.174391
481.18,0.147081
481.377,0.125268
481.647,0.106133
482.006,0.0901078
482.438,0.0780998
482.941,0.0691572
483.587,0.0617469
484.45,0.0554178
485.945,0.0487883
488.275,0.0428989
491.988,0.0377914
495.617,0.035095
500.518,0.034087
504.241,0.0351946
507.964,0.0380969
511.066,0.0426225
513.548,0.0481511
515.838,0.0554864
518.408,0.0674171
520.164,0.0795145
521.933,0.0966218
523.526,0.118699
524.869,0.144945
526.034,0.176758
527.067,0.215741
528.01,0.264933
528.836,0.32416
529.633,0.403908
530.341,0.50382
530.946,0.623151
531.462,0.763458
531.978,0.9588
532.413,1.18988
532.775,1.45405
533.099,1.77739
533.409,2.20296
533.697,2.75846
533.918,3.35096
534.139,4.17357
534.331,5.19051
534.486,6.36151
534.62,7.81058
534.735,9.59554
534.835,11.8012
534.923,14.5598
535.005,18.095
535.085,22.8125
535.164,29.2452
535.244,37.9382
535.321,49.0167
535.402,64.2506
535.483,83.6649
535.58,112.968
535.711,162.472
536.017,294.952
536.141,334.887
536.276,354.796
536.3,355.244
536.413,344.666
536.524,315.834
536.701,244.914
536.925,147.329
537.045,104.66
537.138,78.2244
537.217,60.2456
537.303,45.2665
537.384,34.5731
537.465,26.6249
537.542,21.0707
537.622,16.8198
537.71,13.4122
537.803,10.8705
537.909,8.8249
538.029,7.21605
538.161,5.95264
538.306,4.95776
538.483,4.07034
538.697,3.29859
538.955,2.6375
539.25,2.10559
539.56,1.70755
539.914,1.38019
540.29,1.12851
540.755,0.904937
541.241,0.737594
541.831,0.593633
542.406,0.49398
543.129,0.406344
543.852,0.34795
544.582,0.312171
545.129,0.300487
545.312,0.300013
545.743,0.307904
546.174,0.334563
546.461,0.370436
546.733,0.429665
546.915,0.495589
547.051,0.573206
547.164,0.67333
547.253,0.791466
547.333,0.94506
547.399,1.12479
547.465,1.37138
547.531,1.70951
547.597,2.17049
547.658,2.73175
547.724,3.53947
547.79,4.59666
547.866,6.17375
547.945,8.31181
548.029,11.219
548.137,15.8317
548.303,24.5607
548.5,34.95
548.633,39.8166
548.759,41.4743
548.875,40.0926
549.002,35.7261
549.203,25.2725
549.383,15.7908
549.492,11.1244
549.578,8.18507
549.653,6.16629
549.728,4.59596
549.794,3.52953
549.86,2.71339
549.927,2.09937
549.993,1.64368
550.053,1.33353
550.121,1.07573
550.189,0.888677
550.269,0.733001
550.348,0.622938
550.462,0.515134
550.598,0.430009
550.768,0.359136
550.991,0.2968
551.256,0.246744
551.573,0.205695
551.951,0.172263
552.451,0.142571
552.95,0.122223
553.63,0.102889
554.53,0.0856208
555.551,0.07228
556.685,0.0617738
558.198,0.0518444
560.279,0.0424092
562.36,0.0357232
564.961,0.0299135
567.216,0.0259943
570.684,0.0216376
574.846,0.0179166
579.701,0.0149481
585.944,0.0123383
592.881,0.0104035
599.818,0.0090459
608.141,0.007946
616.465,0.00709751
624.789,0.00648183
635.888,0.00593352
646.986,0.00557541
673.517,0.0052362
693.415,0.00539697
705.354,0.00570814
713.314,0.00604945
721.273,0.00669508
725.253,0.00732505
727.574,0.00792209
730.061,0.00889729
731.881,0.0101505
733.203,0.0116301
734.358,0.0137196
735.183,0.0160419
735.87,0.0189273
736.427,0.0223405
736.933,0.0268341
737.367,0.032441
737.743,0.0394939
738.046,0.0476424
738.321,0.0581388
738.538,0.069922
738.719,0.0838551
738.856,0.0989012
738.972,0.116857
739.073,0.139274
739.16,0.16648
739.247,0.205057
739.323,0.252529
739.399,0.318269
739.464,0.394387
739.529,0.49453
739.594,0.625313
739.664,0.810519
739.737,1.05874
739.809,1.37857
739.89,1.83976
739.976,2.45565
740.074,3.34915
740.194,4.70722
740.389,7.39394
740.598,10.2876
740.754,11.8391
740.898,12.4038
740.909,12.4068
741.055,11.9145
741.199,10.559
741.445,7.17728
741.627,4.68575
741.745,3.36223
741.836,2.52608
741.922,1.887
742.002,1.42524
742.076,1.08858
742.148,0.833888
742.221,0.639234
742.293,0.492704
742.356,0.395632
742.419,0.321247
742.495,0.254864
742.571,0.206908
742.66,0.167257
742.749,0.13949
742.852,0.116816
742.978,0.0976297
743.123,0.0824468
743.304,0.0690871
743.513,0.0580284
743.774,0.0482036
744.099,0.0395989
744.489,0.0325158
744.945,0.0269069
745.48,0.022464
746.088,0.0190722
746.839,0.0162988
747.844,0.0139641
748.992,0.012345
750.715,0.0110045
752.305,0.0103175
755.353,0.00975148
758.062,0.00964026
764.157,0.0100694
771.607,0.0112109
778.806,0.0131246
784.566,0.015413
788.886,0.0181756
792.126,0.0215519
794.15,0.0249609
795.803,0.029234
796.983,0.034012
798.005,0.040311
798.736,0.0470024
799.32,0.0546057
799.935,0.0662207
800.396,0.0789933
800.819,0.095912
801.142,0.114334
801.449,0.139197
801.719,0.170808
801.911,0.203247
802.088,0.246571
802.211,0.290592
802.318,0.345537
802.41,0.412331
802.503,0.507348
802.587,0.631388
802.668,0.797366
802.737,0.990415
802.806,1.24541
802.875,1.57965
802.954,2.08254
803.031,2.72923
803.108,3.56328
803.195,4.76572
803.286,6.38395
803.391,8.70432
803.522,12.3181
803.908,24.8747
804.074,28.7827
804.222,30.2009
804.239,30.2185
804.375,29.2495
804.517,26.3816
804.732,19.7293
804.966,12.0794
805.099,8.45764
805.21,6.07156
805.301,4.53241
805.385,3.40629
805.462,2.60812
805.537,2.00462
805.614,1.53284
805.691,1.17995
805.768,0.919194
805.845,0.728132
805.925,0.58278
806.006,0.478144
806.1,0.391648
806.208,0.32366
806.343,0.26675
806.477,0.227884
806.669,0.189434
806.877,0.160465
807.146,0.133881
807.469,0.111711
807.869,0.093008
808.33,0.0785514
808.791,0.0686791
809.337,0.0606071
809.869,0.0551571
810.934,0.0484796
811.998,0.0450167
813.35,0.04328
814.702,0.0428352
817.691,0.0452917
821.012,0.0515339
824.333,0.0614186
827.322,0.0742838
829.813,0.0891397
832.304,0.10947
834.545,0.13511
836.538,0.166822
838.281,0.205181
839.9,0.254481
841.353,0.316072
842.599,0.388977
843.761,0.482418
844.778,0.595866
845.754,0.747534
846.584,0.927883
847.362,1.1648
848.016,1.44314
848.639,1.81436
849.193,2.28206
849.643,2.81226
850.071,3.51182
850.42,4.30193
850.735,5.28072
851.026,6.52632
851.266,7.94776
851.499,9.85086
851.698,12.1415
851.881,15.0958
852.026,18.3405
852.171,22.7563
852.312,28.6322
852.437,35.577
852.578,46.0411
852.728,60.8247
852.885,81.1606
853.085,113.657
853.498,190.038
853.704,216.811
853.89,225.373
854.059,218.16
854.255,194.12
854.801,95.3937
854.976,70.0035
855.131,52.4381
855.262,41.1485
855.387,32.8868
855.523,26.0425
855.661,20.9866
855.8,17.1861
855.974,13.7367
856.148,11.2664
856.348,9.21586
856.58,7.48933
856.846,6.07028
857.136,4.94714
857.493,3.95577
857.892,3.16979
858.34,2.5402
858.805,2.06898
859.37,1.65505
859.951,1.34669
860.636,1.08282
861.362,0.879968
862.193,0.711207
863.189,0.56607
864.185,0.461577
865.306,0.375634
866.614,0.302481
868.004,0.246035
869.665,0.197333
871.491,0.158963
873.484,0.128798
875.643,0.105075
877.967,0.086455
880.624,0.0707774
883.613,0.0579777
887.1,0.0472701
891.085,0.0386121
895.735,0.0316091
900.384,0.0267284
905.698,0.0229868
910.457,0.0209298
914.325,0.0202561
917.279,0.0209368
919.016,0.0224943
920.144,0.0246279
921.084,0.0278793
