71-Lu-176(n,&gamma;) ENDF/B-VII.1
1.0E-5,73056.0
1.31241E-5,63773.4
1.70876E-5,55892.7
2.2426E-5,48792.5
2.91987E-5,42764.7
3.83206E-5,37333.7
4.98935E-5,32723.7
6.54808E-5,28570.5
8.52562E-5,25045.7
1.11891E-4,21870.2
1.45682E-4,19175.2
1.91195E-4,16748.7
2.48937E-4,14689.7
3.26707E-4,12835.6
4.25373E-4,11263.8
5.58264E-4,9849.6
7.26861E-4,8651.96
9.53941E-4,7575.31
0.00124203,6664.41
0.00163006,5847.98
0.00212234,5159.2
0.00278538,4543.92
0.00362657,4027.76
0.00475955,3572.74
0.00619694,3194.39
0.00813293,2866.2
0.0116243,2522.89
0.0166146,2267.71
0.0234661,2121.44
0.0253,2101.11
0.0302469,2079.53
0.0400981,2141.15
0.0522078,2361.62
0.062416,2676.49
0.0730946,3169.15
0.0819154,3750.29
0.0913911,4624.43
0.100113,5743.79
0.109407,7355.9
0.129445,11630.8
0.135685,12378.8
0.139428,12478.8
0.145667,12005.0
0.153623,10467.2
0.169689,6540.98
0.178112,4924.78
0.18595,3795.42
0.193749,2963.93
0.201548,2349.91
0.210322,1844.04
0.219681,1453.62
0.22904,1168.19
0.238984,943.507
0.249902,760.799
0.262966,601.644
0.277004,478.651
0.292407,381.38
0.309565,303.486
0.327698,243.971
0.348756,194.291
0.372153,155.052
0.39711,125.021
0.422847,102.59
0.454043,83.0407
0.48602,68.7417
0.526575,56.0072
0.566901,47.2732
0.613681,40.3178
0.66771,34.9903
0.737365,31.0072
0.804222,29.2883
0.843218,29.0211
0.906685,29.7149
0.988742,32.7082
1.04451,36.4482
1.10028,42.1498
1.15418,50.3846
1.19657,59.7881
1.23189,70.6856
1.26758,85.9858
1.29881,104.81
1.32557,127.209
1.3516,157.583
1.37316,192.713
1.39398,240.185
1.41257,300.317
1.42893,375.329
1.44213,459.515
1.45384,561.381
1.46518,696.845
1.47559,869.189
1.4847,1075.31
1.49362,1347.67
1.50254,1712.56
1.51184,2213.15
1.52299,2983.72
1.54686,4843.09
1.55608,5309.69
1.56446,5454.76
1.57452,5236.52
1.58641,4525.24
1.61129,2580.45
1.62151,1946.12
1.63043,1519.1
1.63936,1196.08
1.64846,951.083
1.65757,769.535
1.66761,621.628
1.67951,494.681
1.6914,402.731
1.70442,328.663
1.7204,262.625
1.73825,209.983
1.75609,171.755
1.77617,140.062
1.79959,113.066
1.82525,91.5879
1.85499,73.592
1.88919,58.818
1.92488,47.7527
1.96727,38.3329
2.01411,30.9338
2.06318,25.3209
2.12267,20.4427
2.18215,16.9421
2.26023,13.6802
2.3383,11.3922
2.42753,9.53819
2.51676,8.22306
2.63572,7.00962
2.78444,6.0551
2.93726,5.51009
3.12874,5.27849
3.3083,5.47859
3.42801,5.88884
3.54771,6.62006
3.63749,7.48969
3.72727,8.8026
3.80209,10.4454
3.87135,12.7015
3.92821,15.4311
3.97694,18.8303
4.01798,22.9209
4.0539,27.9753
4.08468,34.0376
4.1146,42.3698
4.1394,52.1852
