79-Au-197(n,&gamma;) ENDF/B-VII.1
1.0E-5,4920.01
1.31241E-5,4294.69
1.70876E-5,3763.78
2.2426E-5,3285.44
2.91987E-5,2879.31
3.83206E-5,2513.34
4.98935E-5,2202.67
6.54808E-5,1922.72
8.52562E-5,1685.08
1.11891E-4,1470.92
1.45682E-4,1289.1
1.91195E-4,1125.31
2.48937E-4,986.234
3.26707E-4,860.886
4.25373E-4,754.5
5.58264E-4,658.629
7.26861E-4,577.28
9.53941E-4,503.95
0.00124203,441.686
0.00163006,385.613
0.00212234,338.011
0.00278538,295.135
0.00362657,258.812
0.00475955,226.379
0.00619694,198.522
0.00813293,173.311
0.0105891,152.308
0.0138972,132.99
0.0180942,116.713
0.0234661,102.89
0.0253,99.1388
0.033204,86.7212
0.0432317,76.1772
0.0567377,66.8266
0.0810948,56.4737
0.105586,50.2127
0.138572,44.2585
0.18042,39.3782
0.236786,35.1788
0.308296,31.7188
0.40461,28.8284
0.571686,26.0472
0.798768,24.4547
0.9924,24.0387
1.3404,24.7954
1.6857,26.9591
2.0364,30.7878
2.3844,36.7185
2.6802,44.3573
2.9412,54.2958
3.15,65.693
3.3327,79.6228
3.498,97.1663
3.6546,120.59
3.7938,150.237
3.9156,186.901
4.01304,227.579
4.11048,284.401
4.194,352.967
4.26708,436.587
4.32972,535.403
4.39062,668.509
4.44108,821.147
4.4898,1025.83
4.5333,1282.3
4.57158,1598.0
4.60638,1999.51
4.6377,2506.26
4.66554,3136.35
4.6899,3900.35
4.71252,4877.77
4.7334,6117.01
4.75254,7655.76
4.77212,9763.87
4.79387,12881.4
4.8244,18548.4
4.85729,24700.8
4.87608,26856.0
4.88923,27327.2
4.90531,26618.9
4.92619,23880.5
4.98118,13417.3
5.00267,10181.7
5.02224,7940.8
5.04051,6364.7
5.06139,5027.91
5.08227,4048.59
5.10663,3216.25
5.1336,2555.46
5.16144,2062.52
5.1945,1639.95
5.2293,1320.03
5.26932,1054.54
5.31108,853.759
5.35806,688.995
5.41287,550.117
5.47116,443.245
5.54076,351.468
5.61036,285.179
5.69388,227.426
5.7774,185.384
5.8818,147.364
5.9862,119.692
6.108,96.0172
6.23415,78.0811
6.3864,62.2964
6.5604,49.3818
6.7344,40.0292
6.9519,31.583
7.1694,25.54
7.413,20.5468
7.674,16.6333
7.9872,13.2259
8.3004,10.7482
8.6658,8.62963
9.0834,6.88302
9.5532,5.47654
10.0404,4.43136
10.5972,3.55648
11.154,2.91695
11.8326,2.34662
12.5808,1.89736
13.3464,1.561
14.2164,1.28081
15.1908,1.05102
16.4214,0.846292
17.4322,0.727877
18.7799,0.606003
20.1276,0.517516
21.4753,0.451583
23.1599,0.39124
25.1814,0.33915
27.1495,0.306157
29.0105,0.282317
31.4918,0.263555
34.5935,0.254836
37.9923,0.263398
40.8115,0.288625
42.7337,0.321225
44.0793,0.360502
44.8161,0.400238
45.1365,0.431104
45.3992,0.473952
45.6042,0.534249
45.7388,0.60438
45.8349,0.687127
45.915,0.798691
45.9727,0.926072
46.0207,1.08948
46.0592,1.28598
46.0928,1.53577
46.1256,1.88531
46.1565,2.34773
46.1873,2.98194
46.2193,3.86294
46.2578,5.24679
46.317,7.93907
46.3731,10.4836
46.4116,11.6919
46.4499,12.1261
46.4865,11.7203
46.5269,10.461
46.6366,5.46963
46.6743,4.0715
46.7063,3.14925
46.7383,2.45791
46.7704,1.95804
46.8012,1.6152
46.832,1.37053
46.8673,1.17375
46.9113,1.00769
46.9594,0.887521
47.0235,0.78299
47.1035,0.701072
47.2141,0.633977
47.3534,0.587382
47.5392,0.556552
47.9237,0.538952
48.4363,0.55109
49.4935,0.621396
50.6148,0.740457
51.5759,0.887817
52.4432,1.07399
