79-Au-197(n,inelastic) ENDF/B-VII.1
77796.0,0.0
80000.0,0.022226
85000.0,0.057555
90000.0,0.084097
100000.0,0.12197
120000.0,0.167332
140000.0,0.194574
160000.0,0.213426
180000.0,0.227567
200000.0,0.241079
270380.0,0.281794
280430.0,0.352581
300000.0,0.530348
400000.0,0.861187
500000.0,1.05083
505580.0,1.05724
550810.0,1.16737
600000.0,1.30155
700000.0,1.4519
740770.0,1.49487
800000.0,1.57223
850000.0,1.61513
859380.0,1.61989
900000.0,1.65582
940790.0,1.68514
950000.0,1.69542
1000000.0,1.73058
1125000.0,1.79796
1155900.0,1.80943
1200000.0,1.8331
1223600.0,1.8417
1250000.0,1.85897
1375000.0,1.89099
1500000.0,1.92998
1750000.0,2.07598
2000000.0,2.25056
2125000.0,2.31276
2250000.0,2.36767
2500000.0,2.49164
2625000.0,2.53785
2750000.0,2.57055
3250000.0,2.68465
3500000.0,2.72518
3625000.0,2.74152
3875000.0,2.75501
4000000.0,2.75686
4125000.0,2.75661
4750000.0,2.76536
5000000.0,2.76145
5250000.0,2.74264
5500000.0,2.70979
6000100.0,2.61949
6250000.0,2.58249
6500000.0,2.55283
6750000.0,2.53189
7000000.0,2.51887
7500000.0,2.50944
8000000.0,2.51362
8250000.0,2.50869
8500000.0,2.48282
8750000.0,2.40093
9000000.0,2.25894
9500000.0,1.92533
9750000.0,1.76937
1.0E7,1.61943
1.025E7,1.48129
1.05E7,1.35553
1.075E7,1.24094
1.1E7,1.13755
1.125E7,1.04492
1.15E7,0.962019
1.175E7,0.886279
1.2E7,0.827269
1.25E7,0.74051
1.3E7,0.656673
1.325E7,0.621566
1.35E7,0.59267
1.375E7,0.565646
1.4E7,0.541355
1.425E7,0.519816
1.45E7,0.500891
1.475E7,0.484426
1.5E7,0.469523
1.55E7,0.442371
1.6E7,0.418175
1.625E7,0.407982
1.65E7,0.399239
1.7E7,0.384076
1.775E7,0.364359
1.8E7,0.358438
1.9E7,0.342485
2.0E7,0.314702
2.05E7,0.306714
2.15E7,0.293749
2.2E7,0.28595
2.35E7,0.256909
2.4E7,0.248238
2.45E7,0.240578
2.5E7,0.23355
2.55E7,0.227262
2.6E7,0.221824
2.65E7,0.217375
2.75E7,0.209715
2.8E7,0.205277
2.9E7,0.195014
3.0E7,0.183653
